title	geo_accession	type	source_name_ch1	organism_ch1	molecule_ch1	genotype/variation:ch1	tissue:ch1
Normal [15274]	GSM3144752	SRA	Normal embryo	Homo sapiens	total RNA	Normal	blastocyst
Normal [15275]	GSM3144753	SRA	Normal embryo	Homo sapiens	total RNA	Normal	blastocyst
Normal [15282]	GSM3144754	SRA	Normal embryo	Homo sapiens	total RNA	Normal	blastocyst
Normal [Yael_17132]	GSM3144755	SRA	Normal embryo	Homo sapiens	total RNA	Normal	blastocyst
Normal [Yael_17133]	GSM3144756	SRA	Normal embryo	Homo sapiens	total RNA	Normal	blastocyst
Trisomy_1 [16755]	GSM3144757	SRA	Trisomy 1 embryo	Homo sapiens	total RNA	Trisomy 1	blastocyst
Trisomy_1 [16793]	GSM3144758	SRA	Trisomy 1 embryo	Homo sapiens	total RNA	Trisomy 1	blastocyst
Trisomy_10 [16465]	GSM3144759	SRA	Trisomy 10 embryo	Homo sapiens	total RNA	Trisomy 10	blastocyst
Trisomy_10 [16603]	GSM3144760	SRA	Trisomy 10 embryo	Homo sapiens	total RNA	Trisomy 10	blastocyst
Trisomy_11 [16419]	GSM3144761	SRA	Trisomy 11 embryo	Homo sapiens	total RNA	Trisomy 11	blastocyst
Trisomy_11 [16607]	GSM3144762	SRA	Trisomy 11 embryo	Homo sapiens	total RNA	Trisomy 11	blastocyst
Trisomy_12 [16431]	GSM3144763	SRA	Trisomy 12 embryo	Homo sapiens	total RNA	Trisomy 12	blastocyst
Trisomy_13 [16425]	GSM3144764	SRA	Trisomy 13 embryo	Homo sapiens	total RNA	Trisomy 13	blastocyst
Trisomy_13 [16433]	GSM3144765	SRA	Trisomy 13 embryo	Homo sapiens	total RNA	Trisomy 13	blastocyst
Trisomy_14 [16479]	GSM3144766	SRA	Trisomy 14 embryo	Homo sapiens	total RNA	Trisomy 14	blastocyst
Trisomy_14 [16604]	GSM3144767	SRA	Trisomy 14 embryo	Homo sapiens	total RNA	Trisomy 14	blastocyst
Trisomy_15 [15090]	GSM3144768	SRA	Trisomy 15 embryo	Homo sapiens	total RNA	Trisomy 15	blastocyst
Trisomy_15 [15091]	GSM3144769	SRA	Trisomy 15 embryo	Homo sapiens	total RNA	Trisomy 15	blastocyst
Trisomy_15 [15092]	GSM3144770	SRA	Trisomy 15 embryo	Homo sapiens	total RNA	Trisomy 15	blastocyst
Trisomy_15 [15093]	GSM3144771	SRA	Trisomy 15 embryo	Homo sapiens	total RNA	Trisomy 15	blastocyst
Trisomy_15 [15094]	GSM3144772	SRA	Trisomy 15 embryo	Homo sapiens	total RNA	Trisomy 15	blastocyst
Trisomy_16 [16467]	GSM3144773	SRA	Trisomy 16 embryo	Homo sapiens	total RNA	Trisomy 16	blastocyst
