title	geo_accession	status	submission_date	last_update_date	type	channel_count	source_name_ch1	organism_ch1	characteristics_ch1	characteristics_ch1.1	molecule_ch1	extract_protocol_ch1	extract_protocol_ch1.1	taxid_ch1	description	description.1	data_processing	data_processing.1	data_processing.2	data_processing.3	data_processing.4	platform_id	contact_name	contact_email	contact_institute	contact_address	contact_city	contact_state	contact_zip/postal_code	contact_country	data_row_count	instrument_model	library_selection	library_source	library_strategy	relation	relation.1	supplementary_file_1	genotype/variation:ch1	tissue:ch1
Normal [15274]	GSM3144752	Public on May 17 2018	May 16 2018	May 17 2018	SRA	1	Normal embryo	Homo sapiens	tissue: blastocyst	genotype/variation: Normal	total RNA	SMARTer v4 Ultra Low kit.	Low Input Library prep, Clontech.	9606	15274	Processed data file: SuppTable7-Gene-Expression-Table.xlsx	STAR/2.5 aligner against hg19 reference.	Gene counting against hg19 reference utilizing featureCounts/1.5.3.	Normalization of raw counts and DE test utilizing DESeq2/3.5.	Genome_build: hg19 (GRCh37)	Supplementary_files_format_and_content: SuppTable7-Gene-Expression-Table.xlsx: Excel file includes expression values.	GPL16791	Tenzin,C,Lhakhang	tenzin.lhakhang@nyumc.org	NYU School of Medicine	550 First Avenue	Manhattan	NY	10016	USA	0	Illumina HiSeq 2500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN09216597	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX4091729	NONE	Normal	blastocyst
Normal [15275]	GSM3144753	Public on May 17 2018	May 16 2018	May 17 2018	SRA	1	Normal embryo	Homo sapiens	tissue: blastocyst	genotype/variation: Normal	total RNA	SMARTer v4 Ultra Low kit.	Low Input Library prep, Clontech.	9606	15275	Processed data file: SuppTable7-Gene-Expression-Table.xlsx	STAR/2.5 aligner against hg19 reference.	Gene counting against hg19 reference utilizing featureCounts/1.5.3.	Normalization of raw counts and DE test utilizing DESeq2/3.5.	Genome_build: hg19 (GRCh37)	Supplementary_files_format_and_content: SuppTable7-Gene-Expression-Table.xlsx: Excel file includes expression values.	GPL16791	Tenzin,C,Lhakhang	tenzin.lhakhang@nyumc.org	NYU School of Medicine	550 First Avenue	Manhattan	NY	10016	USA	0	Illumina HiSeq 2500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN09216596	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX4091730	NONE	Normal	blastocyst
Normal [15282]	GSM3144754	Public on May 17 2018	May 16 2018	May 17 2018	SRA	1	Normal embryo	Homo sapiens	tissue: blastocyst	genotype/variation: Normal	total RNA	SMARTer v4 Ultra Low kit.	Low Input Library prep, Clontech.	9606	15282	Processed data file: SuppTable7-Gene-Expression-Table.xlsx	STAR/2.5 aligner against hg19 reference.	Gene counting against hg19 reference utilizing featureCounts/1.5.3.	Normalization of raw counts and DE test utilizing DESeq2/3.5.	Genome_build: hg19 (GRCh37)	Supplementary_files_format_and_content: SuppTable7-Gene-Expression-Table.xlsx: Excel file includes expression values.	GPL16791	Tenzin,C,Lhakhang	tenzin.lhakhang@nyumc.org	NYU School of Medicine	550 First Avenue	Manhattan	NY	10016	USA	0	Illumina HiSeq 2500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN09216594	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX4091731	NONE	Normal	blastocyst
Normal [Yael_17132]	GSM3144755	Public on May 17 2018	May 16 2018	May 17 2018	SRA	1	Normal embryo	Homo sapiens	tissue: blastocyst	genotype/variation: Normal	total RNA	SMARTer v4 Ultra Low kit.	Low Input Library prep, Clontech.	9606	17132	Processed data file: SuppTable7-Gene-Expression-Table.xlsx	STAR/2.5 aligner against hg19 reference.	Gene counting against hg19 reference utilizing featureCounts/1.5.3.	Normalization of raw counts and DE test utilizing DESeq2/3.5.	Genome_build: hg19 (GRCh37)	Supplementary_files_format_and_content: SuppTable7-Gene-Expression-Table.xlsx: Excel file includes expression values.	GPL16791	Tenzin,C,Lhakhang	tenzin.lhakhang@nyumc.org	NYU School of Medicine	550 First Avenue	Manhattan	NY	10016	USA	0	Illumina HiSeq 2500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN09216593	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX4091732	NONE	Normal	blastocyst
Normal [Yael_17133]	GSM3144756	Public on May 17 2018	May 16 2018	May 17 2018	SRA	1	Normal embryo	Homo sapiens	tissue: blastocyst	genotype/variation: Normal	total RNA	SMARTer v4 Ultra Low kit.	Low Input Library prep, Clontech.	9606	17133	Processed data file: SuppTable7-Gene-Expression-Table.xlsx	STAR/2.5 aligner against hg19 reference.	Gene counting against hg19 reference utilizing featureCounts/1.5.3.	Normalization of raw counts and DE test utilizing DESeq2/3.5.	Genome_build: hg19 (GRCh37)	Supplementary_files_format_and_content: SuppTable7-Gene-Expression-Table.xlsx: Excel file includes expression values.	GPL16791	Tenzin,C,Lhakhang	tenzin.lhakhang@nyumc.org	NYU School of Medicine	550 First Avenue	Manhattan	NY	10016	USA	0	Illumina HiSeq 2500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN09216592	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX4091733	NONE	Normal	blastocyst
Trisomy_1 [16755]	GSM3144757	Public on May 17 2018	May 16 2018	May 17 2018	SRA	1	Trisomy 1 embryo	Homo sapiens	tissue: blastocyst	genotype/variation: Trisomy 1	total RNA	SMARTer v4 Ultra Low kit.	Low Input Library prep, Clontech.	9606	16755	Processed data file: SuppTable7-Gene-Expression-Table.xlsx	STAR/2.5 aligner against hg19 reference.	Gene counting against hg19 reference utilizing featureCounts/1.5.3.	Normalization of raw counts and DE test utilizing DESeq2/3.5.	Genome_build: hg19 (GRCh37)	Supplementary_files_format_and_content: SuppTable7-Gene-Expression-Table.xlsx: Excel file includes expression values.	GPL16791	Tenzin,C,Lhakhang	tenzin.lhakhang@nyumc.org	NYU School of Medicine	550 First Avenue	Manhattan	NY	10016	USA	0	Illumina HiSeq 2500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN09216591	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX4091734	NONE	Trisomy 1	blastocyst
Trisomy_1 [16793]	GSM3144758	Public on May 17 2018	May 16 2018	May 17 2018	SRA	1	Trisomy 1 embryo	Homo sapiens	tissue: blastocyst	genotype/variation: Trisomy 1	total RNA	SMARTer v4 Ultra Low kit.	Low Input Library prep, Clontech.	9606	16793	Processed data file: SuppTable7-Gene-Expression-Table.xlsx	STAR/2.5 aligner against hg19 reference.	Gene counting against hg19 reference utilizing featureCounts/1.5.3.	Normalization of raw counts and DE test utilizing DESeq2/3.5.	Genome_build: hg19 (GRCh37)	Supplementary_files_format_and_content: SuppTable7-Gene-Expression-Table.xlsx: Excel file includes expression values.	GPL16791	Tenzin,C,Lhakhang	tenzin.lhakhang@nyumc.org	NYU School of Medicine	550 First Avenue	Manhattan	NY	10016	USA	0	Illumina HiSeq 2500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN09216590	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX4091735	NONE	Trisomy 1	blastocyst
Trisomy_10 [16465]	GSM3144759	Public on May 17 2018	May 16 2018	May 17 2018	SRA	1	Trisomy 10 embryo	Homo sapiens	tissue: blastocyst	genotype/variation: Trisomy 10	total RNA	SMARTer v4 Ultra Low kit.	Low Input Library prep, Clontech.	9606	16465	Processed data file: SuppTable7-Gene-Expression-Table.xlsx	STAR/2.5 aligner against hg19 reference.	Gene counting against hg19 reference utilizing featureCounts/1.5.3.	Normalization of raw counts and DE test utilizing DESeq2/3.5.	Genome_build: hg19 (GRCh37)	Supplementary_files_format_and_content: SuppTable7-Gene-Expression-Table.xlsx: Excel file includes expression values.	GPL16791	Tenzin,C,Lhakhang	tenzin.lhakhang@nyumc.org	NYU School of Medicine	550 First Avenue	Manhattan	NY	10016	USA	0	Illumina HiSeq 2500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN09216589	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX4091736	NONE	Trisomy 10	blastocyst
Trisomy_10 [16603]	GSM3144760	Public on May 17 2018	May 16 2018	May 17 2018	SRA	1	Trisomy 10 embryo	Homo sapiens	tissue: blastocyst	genotype/variation: Trisomy 10	total RNA	SMARTer v4 Ultra Low kit.	Low Input Library prep, Clontech.	9606	16603	Processed data file: SuppTable7-Gene-Expression-Table.xlsx	STAR/2.5 aligner against hg19 reference.	Gene counting against hg19 reference utilizing featureCounts/1.5.3.	Normalization of raw counts and DE test utilizing DESeq2/3.5.	Genome_build: hg19 (GRCh37)	Supplementary_files_format_and_content: SuppTable7-Gene-Expression-Table.xlsx: Excel file includes expression values.	GPL16791	Tenzin,C,Lhakhang	tenzin.lhakhang@nyumc.org	NYU School of Medicine	550 First Avenue	Manhattan	NY	10016	USA	0	Illumina HiSeq 2500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN09216588	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX4091737	NONE	Trisomy 10	blastocyst
Trisomy_11 [16419]	GSM3144761	Public on May 17 2018	May 16 2018	May 17 2018	SRA	1	Trisomy 11 embryo	Homo sapiens	tissue: blastocyst	genotype/variation: Trisomy 11	total RNA	SMARTer v4 Ultra Low kit.	Low Input Library prep, Clontech.	9606	16419	Processed data file: SuppTable7-Gene-Expression-Table.xlsx	STAR/2.5 aligner against hg19 reference.	Gene counting against hg19 reference utilizing featureCounts/1.5.3.	Normalization of raw counts and DE test utilizing DESeq2/3.5.	Genome_build: hg19 (GRCh37)	Supplementary_files_format_and_content: SuppTable7-Gene-Expression-Table.xlsx: Excel file includes expression values.	GPL16791	Tenzin,C,Lhakhang	tenzin.lhakhang@nyumc.org	NYU School of Medicine	550 First Avenue	Manhattan	NY	10016	USA	0	Illumina HiSeq 2500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN09216587	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX4091738	NONE	Trisomy 11	blastocyst
