title	geo_accession	type	source_name_ch1	organism_ch1	molecule_ch1	age at dissection (day):ch1	days in vitro:ch1	karyotype:ch1	tissue origin:ch1	tissue:ch1
59d-plus-ODIV	GSM3526396	SRA	Retina	Homo sapiens	total RNA	D59	0	WT	fetal	retina
D113T21	GSM3526397	SRA	Retina	Homo sapiens	total RNA	D113	0	Trisomy 21	fetal	retina
59d-plus-21DIV	GSM3526398	SRA	Retina	Homo sapiens	total RNA	D59	21	WT	fetal	retina
D136T21	GSM3526399	SRA	Retina	Homo sapiens	total RNA	D136	0	Trisomy 21	fetal	retina
105d-plus-ODIV	GSM3526400	SRA	Retina	Homo sapiens	total RNA	D105	0	WT	fetal	retina
D110T21	GSM3526401	SRA	Retina	Homo sapiens	total RNA	D110	0	Trisomy 21	fetal	retina
D20	GSM3526402	SRA	Retina	Homo sapiens	total RNA	D20	0	WT	H9-derived retinal organoids	retina
105d-plus-21DIV	GSM3526403	SRA	Retina	Homo sapiens	total RNA	D105	21	WT	fetal	retina
D89T21	GSM3526404	SRA	Retina	Homo sapiens	total RNA	D89	0	Trisomy 21	fetal	retina
D30	GSM3526405	SRA	Retina	Homo sapiens	total RNA	D30	0	WT	H9-derived retinal organoids	retina
134d-plus-ODIV	GSM3526406	SRA	Retina	Homo sapiens	total RNA	D134	0	WT	fetal	retina
D40	GSM3526407	SRA	Retina	Homo sapiens	total RNA	D40	0	WT	H9-derived retinal organoids	retina
134d-plus-21DIV	GSM3526408	SRA	Retina	Homo sapiens	total RNA	D134	21	WT	fetal	retina
D60	GSM3526409	SRA	Retina	Homo sapiens	total RNA	D63	0	WT	H9-derived retinal organoids	retina
D90	GSM3526410	SRA	Retina	Homo sapiens	total RNA	D92	0	WT	H9-derived retinal organoids	retina
