title	geo_accession	status	submission_date	last_update_date	type	channel_count	source_name_ch1	organism_ch1	characteristics_ch1	characteristics_ch1.1	characteristics_ch1.2	characteristics_ch1.3	growth_protocol_ch1	molecule_ch1	extract_protocol_ch1	extract_protocol_ch1.1	taxid_ch1	description	description.1	data_processing	data_processing.1	data_processing.2	data_processing.3	data_processing.4	platform_id	contact_name	contact_email	contact_department	contact_institute	contact_address	contact_city	contact_state	contact_zip/postal_code	contact_country	data_row_count	instrument_model	library_selection	library_source	library_strategy	relation	relation.1	supplementary_file_1	age:ch1	batch:ch1	condition:ch1	gender:ch1
DS1-rep1	GSM3618029	Public on Jun 22 2019	Feb 21 2019	Jun 22 2019	SRA	1	Skin Fibroblast	Homo sapiens	condition: Trisomic	age: 5 months	gender: Male	batch: A	Cells were were cultured in DMEM medium (Life Technologies #11995-065) containing 10% fetal bovine serum (Life Technologies #10270), 100 mg/L sodium pyruvate, 100 units/mL Penicillin-Streptomycin (Life Technologies #15140-122) at 37°C in a 5% CO2 atmosphere. Cell passage number ranged from p7 to p12, and cells at 85–90% confluency were used.	total RNA	RNA was extracted  using RNeasy Micro Kit (Qiagen) according to the manufacturer’s specifications	500 ng of total RNA were prepared using TruSeq RNA Sample prep kit V2 (Ilumina Inc., San Diego, CA, USA) following manufacturers’ instructions for the samples DS-1-6 and 2N-1-6.  Quality of libraries was assessed using Agilent 2200 TapeStation system. The sequencing files for samples DS-7, DS-8, 2N-7, 2N-8 and 2N-9 were retrieved from SRA: SRP039348.	9606	DS-1	TMM_normalized_ReadCounts.txt	Samples DS 1-6 and 2N 1-6: For base-calling CASAVA version 1.8 was used to generate FASTQ files. Samples DS-7,8 and 2N-7, 8, 9: Retrieved from SRA: SRP039348.	Samples DS 1-6 and 2N 1-6: STAR aligner (version 2.3.1z9) was used to align sequencing files with reference genome. Samples DS-7,8 and 2N-7, 8, 9: Raw read counts obtained from public repository ARCHS4 (Lachmann A, Torre D, Keenan AB, Jagodnik KM, Lee HJ, Wang L, Silverstein MC, Ma’ayan A. Massive mining of publicly available RNA-seq data from human and mouse. Nature Communications 9. Article number: 1366 (2018)). Kallisto was used as aligner according to the publication.	Samples DS 1-6 and 2N 1-6: HTSeq (version 0.6.1p2) was used for quantifying aligned reads.	Genome_build: Samples DS 1-6 and 2N 1-6: hg19 (GRCh37). Samples DS-7,8 and 2N-7, 8, 9: hg38 (According to ARCHS4)	Supplementary_files_format_and_content: TMM_normalized_ReadCounts.txt is a tab delimited text file containing TMM normalized counts for features i.e. counts are normalized between libraries.	GPL11154	Sandipkumar,,Darji	sdarji@nki.rfmh.org	Center for Dementia Research	Nathan Kline Institute for Psychiatric Research	140 Old Orangeburg Rd, Bldg 39	Orangeburg	NY	10962	USA	0	Illumina HiSeq 2000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10985289	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX5406086	NONE	5 months	A	Trisomic	Male
DS1-rep2	GSM3618030	Public on Jun 22 2019	Feb 21 2019	Jun 22 2019	SRA	1	Skin Fibroblast	Homo sapiens	condition: Trisomic	age: 5 months	gender: Male	batch: A	Cells were were cultured in DMEM medium (Life Technologies #11995-065) containing 10% fetal bovine serum (Life Technologies #10270), 100 mg/L sodium pyruvate, 100 units/mL Penicillin-Streptomycin (Life Technologies #15140-122) at 37°C in a 5% CO2 atmosphere. Cell passage number ranged from p7 to p12, and cells at 85–90% confluency were used.	total RNA	RNA was extracted  using RNeasy Micro Kit (Qiagen) according to the manufacturer’s specifications	500 ng of total RNA were prepared using TruSeq RNA Sample prep kit V2 (Ilumina Inc., San Diego, CA, USA) following manufacturers’ instructions for the samples DS-1-6 and 2N-1-6.  Quality of libraries was assessed using Agilent 2200 TapeStation system. The sequencing files for samples DS-7, DS-8, 2N-7, 2N-8 and 2N-9 were retrieved from SRA: SRP039348.	9606	DS-2	TMM_normalized_ReadCounts.txt	Samples DS 1-6 and 2N 1-6: For base-calling CASAVA version 1.8 was used to generate FASTQ files. Samples DS-7,8 and 2N-7, 8, 9: Retrieved from SRA: SRP039348.	Samples DS 1-6 and 2N 1-6: STAR aligner (version 2.3.1z9) was used to align sequencing files with reference genome. Samples DS-7,8 and 2N-7, 8, 9: Raw read counts obtained from public repository ARCHS4 (Lachmann A, Torre D, Keenan AB, Jagodnik KM, Lee HJ, Wang L, Silverstein MC, Ma’ayan A. Massive mining of publicly available RNA-seq data from human and mouse. Nature Communications 9. Article number: 1366 (2018)). Kallisto was used as aligner according to the publication.	Samples DS 1-6 and 2N 1-6: HTSeq (version 0.6.1p2) was used for quantifying aligned reads.	Genome_build: Samples DS 1-6 and 2N 1-6: hg19 (GRCh37). Samples DS-7,8 and 2N-7, 8, 9: hg38 (According to ARCHS4)	Supplementary_files_format_and_content: TMM_normalized_ReadCounts.txt is a tab delimited text file containing TMM normalized counts for features i.e. counts are normalized between libraries.	GPL11154	Sandipkumar,,Darji	sdarji@nki.rfmh.org	Center for Dementia Research	Nathan Kline Institute for Psychiatric Research	140 Old Orangeburg Rd, Bldg 39	Orangeburg	NY	10962	USA	0	Illumina HiSeq 2000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10985288	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX5406087	NONE	5 months	A	Trisomic	Male
DS1-rep3	GSM3618031	Public on Jun 22 2019	Feb 21 2019	Jun 22 2019	SRA	1	Skin Fibroblast	Homo sapiens	condition: Trisomic	age: 5 months	gender: Male	batch: A	Cells were were cultured in DMEM medium (Life Technologies #11995-065) containing 10% fetal bovine serum (Life Technologies #10270), 100 mg/L sodium pyruvate, 100 units/mL Penicillin-Streptomycin (Life Technologies #15140-122) at 37°C in a 5% CO2 atmosphere. Cell passage number ranged from p7 to p12, and cells at 85–90% confluency were used.	total RNA	RNA was extracted  using RNeasy Micro Kit (Qiagen) according to the manufacturer’s specifications	500 ng of total RNA were prepared using TruSeq RNA Sample prep kit V2 (Ilumina Inc., San Diego, CA, USA) following manufacturers’ instructions for the samples DS-1-6 and 2N-1-6.  Quality of libraries was assessed using Agilent 2200 TapeStation system. The sequencing files for samples DS-7, DS-8, 2N-7, 2N-8 and 2N-9 were retrieved from SRA: SRP039348.	9606	DS-3	TMM_normalized_ReadCounts.txt	Samples DS 1-6 and 2N 1-6: For base-calling CASAVA version 1.8 was used to generate FASTQ files. Samples DS-7,8 and 2N-7, 8, 9: Retrieved from SRA: SRP039348.	Samples DS 1-6 and 2N 1-6: STAR aligner (version 2.3.1z9) was used to align sequencing files with reference genome. Samples DS-7,8 and 2N-7, 8, 9: Raw read counts obtained from public repository ARCHS4 (Lachmann A, Torre D, Keenan AB, Jagodnik KM, Lee HJ, Wang L, Silverstein MC, Ma’ayan A. Massive mining of publicly available RNA-seq data from human and mouse. Nature Communications 9. Article number: 1366 (2018)). Kallisto was used as aligner according to the publication.	Samples DS 1-6 and 2N 1-6: HTSeq (version 0.6.1p2) was used for quantifying aligned reads.	Genome_build: Samples DS 1-6 and 2N 1-6: hg19 (GRCh37). Samples DS-7,8 and 2N-7, 8, 9: hg38 (According to ARCHS4)	Supplementary_files_format_and_content: TMM_normalized_ReadCounts.txt is a tab delimited text file containing TMM normalized counts for features i.e. counts are normalized between libraries.	GPL11154	Sandipkumar,,Darji	sdarji@nki.rfmh.org	Center for Dementia Research	Nathan Kline Institute for Psychiatric Research	140 Old Orangeburg Rd, Bldg 39	Orangeburg	NY	10962	USA	0	Illumina HiSeq 2000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10985287	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX5406088	NONE	5 months	A	Trisomic	Male
DS2-rep1	GSM3618032	Public on Jun 22 2019	Feb 21 2019	Jun 22 2019	SRA	1	Skin Fibroblast	Homo sapiens	condition: Trisomic	age: 2 years	gender: Male	batch: A	Cells were were cultured in DMEM medium (Life Technologies #11995-065) containing 10% fetal bovine serum (Life Technologies #10270), 100 mg/L sodium pyruvate, 100 units/mL Penicillin-Streptomycin (Life Technologies #15140-122) at 37°C in a 5% CO2 atmosphere. Cell passage number ranged from p7 to p12, and cells at 85–90% confluency were used.	total RNA	RNA was extracted  using RNeasy Micro Kit (Qiagen) according to the manufacturer’s specifications	500 ng of total RNA were prepared using TruSeq RNA Sample prep kit V2 (Ilumina Inc., San Diego, CA, USA) following manufacturers’ instructions for the samples DS-1-6 and 2N-1-6.  Quality of libraries was assessed using Agilent 2200 TapeStation system. The sequencing files for samples DS-7, DS-8, 2N-7, 2N-8 and 2N-9 were retrieved from SRA: SRP039348.	9606	DS-4	TMM_normalized_ReadCounts.txt	Samples DS 1-6 and 2N 1-6: For base-calling CASAVA version 1.8 was used to generate FASTQ files. Samples DS-7,8 and 2N-7, 8, 9: Retrieved from SRA: SRP039348.	Samples DS 1-6 and 2N 1-6: STAR aligner (version 2.3.1z9) was used to align sequencing files with reference genome. Samples DS-7,8 and 2N-7, 8, 9: Raw read counts obtained from public repository ARCHS4 (Lachmann A, Torre D, Keenan AB, Jagodnik KM, Lee HJ, Wang L, Silverstein MC, Ma’ayan A. Massive mining of publicly available RNA-seq data from human and mouse. Nature Communications 9. Article number: 1366 (2018)). Kallisto was used as aligner according to the publication.	Samples DS 1-6 and 2N 1-6: HTSeq (version 0.6.1p2) was used for quantifying aligned reads.	Genome_build: Samples DS 1-6 and 2N 1-6: hg19 (GRCh37). Samples DS-7,8 and 2N-7, 8, 9: hg38 (According to ARCHS4)	Supplementary_files_format_and_content: TMM_normalized_ReadCounts.txt is a tab delimited text file containing TMM normalized counts for features i.e. counts are normalized between libraries.	GPL11154	Sandipkumar,,Darji	sdarji@nki.rfmh.org	Center for Dementia Research	Nathan Kline Institute for Psychiatric Research	140 Old Orangeburg Rd, Bldg 39	Orangeburg	NY	10962	USA	0	Illumina HiSeq 2000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10985286	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX5406089	NONE	2 years	A	Trisomic	Male
DS2-rep2	GSM3618033	Public on Jun 22 2019	Feb 21 2019	Jun 22 2019	SRA	1	Skin Fibroblast	Homo sapiens	condition: Trisomic	age: 2 years	gender: Male	batch: A	Cells were were cultured in DMEM medium (Life Technologies #11995-065) containing 10% fetal bovine serum (Life Technologies #10270), 100 mg/L sodium pyruvate, 100 units/mL Penicillin-Streptomycin (Life Technologies #15140-122) at 37°C in a 5% CO2 atmosphere. Cell passage number ranged from p7 to p12, and cells at 85–90% confluency were used.	total RNA	RNA was extracted  using RNeasy Micro Kit (Qiagen) according to the manufacturer’s specifications	500 ng of total RNA were prepared using TruSeq RNA Sample prep kit V2 (Ilumina Inc., San Diego, CA, USA) following manufacturers’ instructions for the samples DS-1-6 and 2N-1-6.  Quality of libraries was assessed using Agilent 2200 TapeStation system. The sequencing files for samples DS-7, DS-8, 2N-7, 2N-8 and 2N-9 were retrieved from SRA: SRP039348.	9606	DS-5	TMM_normalized_ReadCounts.txt	Samples DS 1-6 and 2N 1-6: For base-calling CASAVA version 1.8 was used to generate FASTQ files. Samples DS-7,8 and 2N-7, 8, 9: Retrieved from SRA: SRP039348.	Samples DS 1-6 and 2N 1-6: STAR aligner (version 2.3.1z9) was used to align sequencing files with reference genome. Samples DS-7,8 and 2N-7, 8, 9: Raw read counts obtained from public repository ARCHS4 (Lachmann A, Torre D, Keenan AB, Jagodnik KM, Lee HJ, Wang L, Silverstein MC, Ma’ayan A. Massive mining of publicly available RNA-seq data from human and mouse. Nature Communications 9. Article number: 1366 (2018)). Kallisto was used as aligner according to the publication.	Samples DS 1-6 and 2N 1-6: HTSeq (version 0.6.1p2) was used for quantifying aligned reads.	Genome_build: Samples DS 1-6 and 2N 1-6: hg19 (GRCh37). Samples DS-7,8 and 2N-7, 8, 9: hg38 (According to ARCHS4)	Supplementary_files_format_and_content: TMM_normalized_ReadCounts.txt is a tab delimited text file containing TMM normalized counts for features i.e. counts are normalized between libraries.	GPL11154	Sandipkumar,,Darji	sdarji@nki.rfmh.org	Center for Dementia Research	Nathan Kline Institute for Psychiatric Research	140 Old Orangeburg Rd, Bldg 39	Orangeburg	NY	10962	USA	0	Illumina HiSeq 2000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10985285	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX5406090	NONE	2 years	A	Trisomic	Male
DS2-rep3	GSM3618034	Public on Jun 22 2019	Feb 21 2019	Jun 22 2019	SRA	1	Skin Fibroblast	Homo sapiens	condition: Trisomic	age: 2 years	gender: Male	batch: A	Cells were were cultured in DMEM medium (Life Technologies #11995-065) containing 10% fetal bovine serum (Life Technologies #10270), 100 mg/L sodium pyruvate, 100 units/mL Penicillin-Streptomycin (Life Technologies #15140-122) at 37°C in a 5% CO2 atmosphere. Cell passage number ranged from p7 to p12, and cells at 85–90% confluency were used.	total RNA	RNA was extracted  using RNeasy Micro Kit (Qiagen) according to the manufacturer’s specifications	500 ng of total RNA were prepared using TruSeq RNA Sample prep kit V2 (Ilumina Inc., San Diego, CA, USA) following manufacturers’ instructions for the samples DS-1-6 and 2N-1-6.  Quality of libraries was assessed using Agilent 2200 TapeStation system. The sequencing files for samples DS-7, DS-8, 2N-7, 2N-8 and 2N-9 were retrieved from SRA: SRP039348.	9606	DS-6	TMM_normalized_ReadCounts.txt	Samples DS 1-6 and 2N 1-6: For base-calling CASAVA version 1.8 was used to generate FASTQ files. Samples DS-7,8 and 2N-7, 8, 9: Retrieved from SRA: SRP039348.	Samples DS 1-6 and 2N 1-6: STAR aligner (version 2.3.1z9) was used to align sequencing files with reference genome. Samples DS-7,8 and 2N-7, 8, 9: Raw read counts obtained from public repository ARCHS4 (Lachmann A, Torre D, Keenan AB, Jagodnik KM, Lee HJ, Wang L, Silverstein MC, Ma’ayan A. Massive mining of publicly available RNA-seq data from human and mouse. Nature Communications 9. Article number: 1366 (2018)). Kallisto was used as aligner according to the publication.	Samples DS 1-6 and 2N 1-6: HTSeq (version 0.6.1p2) was used for quantifying aligned reads.	Genome_build: Samples DS 1-6 and 2N 1-6: hg19 (GRCh37). Samples DS-7,8 and 2N-7, 8, 9: hg38 (According to ARCHS4)	Supplementary_files_format_and_content: TMM_normalized_ReadCounts.txt is a tab delimited text file containing TMM normalized counts for features i.e. counts are normalized between libraries.	GPL11154	Sandipkumar,,Darji	sdarji@nki.rfmh.org	Center for Dementia Research	Nathan Kline Institute for Psychiatric Research	140 Old Orangeburg Rd, Bldg 39	Orangeburg	NY	10962	USA	0	Illumina HiSeq 2000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10985284	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX5406091	NONE	2 years	A	Trisomic	Male
WT1-rep1	GSM3618035	Public on Jun 22 2019	Feb 21 2019	Jun 22 2019	SRA	1	Skin Fibroblast	Homo sapiens	condition: Disomic	age: 5 months	gender: Male	batch: A	Cells were were cultured in DMEM medium (Life Technologies #11995-065) containing 10% fetal bovine serum (Life Technologies #10270), 100 mg/L sodium pyruvate, 100 units/mL Penicillin-Streptomycin (Life Technologies #15140-122) at 37°C in a 5% CO2 atmosphere. Cell passage number ranged from p7 to p12, and cells at 85–90% confluency were used.	total RNA	RNA was extracted  using RNeasy Micro Kit (Qiagen) according to the manufacturer’s specifications	500 ng of total RNA were prepared using TruSeq RNA Sample prep kit V2 (Ilumina Inc., San Diego, CA, USA) following manufacturers’ instructions for the samples DS-1-6 and 2N-1-6.  Quality of libraries was assessed using Agilent 2200 TapeStation system. The sequencing files for samples DS-7, DS-8, 2N-7, 2N-8 and 2N-9 were retrieved from SRA: SRP039348.	9606	2N-1	TMM_normalized_ReadCounts.txt	Samples DS 1-6 and 2N 1-6: For base-calling CASAVA version 1.8 was used to generate FASTQ files. Samples DS-7,8 and 2N-7, 8, 9: Retrieved from SRA: SRP039348.	Samples DS 1-6 and 2N 1-6: STAR aligner (version 2.3.1z9) was used to align sequencing files with reference genome. Samples DS-7,8 and 2N-7, 8, 9: Raw read counts obtained from public repository ARCHS4 (Lachmann A, Torre D, Keenan AB, Jagodnik KM, Lee HJ, Wang L, Silverstein MC, Ma’ayan A. Massive mining of publicly available RNA-seq data from human and mouse. Nature Communications 9. Article number: 1366 (2018)). Kallisto was used as aligner according to the publication.	Samples DS 1-6 and 2N 1-6: HTSeq (version 0.6.1p2) was used for quantifying aligned reads.	Genome_build: Samples DS 1-6 and 2N 1-6: hg19 (GRCh37). Samples DS-7,8 and 2N-7, 8, 9: hg38 (According to ARCHS4)	Supplementary_files_format_and_content: TMM_normalized_ReadCounts.txt is a tab delimited text file containing TMM normalized counts for features i.e. counts are normalized between libraries.	GPL11154	Sandipkumar,,Darji	sdarji@nki.rfmh.org	Center for Dementia Research	Nathan Kline Institute for Psychiatric Research	140 Old Orangeburg Rd, Bldg 39	Orangeburg	NY	10962	USA	0	Illumina HiSeq 2000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10985283	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX5406092	NONE	5 months	A	Disomic	Male
WT1-rep2	GSM3618036	Public on Jun 22 2019	Feb 21 2019	Jun 22 2019	SRA	1	Skin Fibroblast	Homo sapiens	condition: Disomic	age: 5 months	gender: Male	batch: A	Cells were were cultured in DMEM medium (Life Technologies #11995-065) containing 10% fetal bovine serum (Life Technologies #10270), 100 mg/L sodium pyruvate, 100 units/mL Penicillin-Streptomycin (Life Technologies #15140-122) at 37°C in a 5% CO2 atmosphere. Cell passage number ranged from p7 to p12, and cells at 85–90% confluency were used.	total RNA	RNA was extracted  using RNeasy Micro Kit (Qiagen) according to the manufacturer’s specifications	500 ng of total RNA were prepared using TruSeq RNA Sample prep kit V2 (Ilumina Inc., San Diego, CA, USA) following manufacturers’ instructions for the samples DS-1-6 and 2N-1-6.  Quality of libraries was assessed using Agilent 2200 TapeStation system. The sequencing files for samples DS-7, DS-8, 2N-7, 2N-8 and 2N-9 were retrieved from SRA: SRP039348.	9606	2N-2	TMM_normalized_ReadCounts.txt	Samples DS 1-6 and 2N 1-6: For base-calling CASAVA version 1.8 was used to generate FASTQ files. Samples DS-7,8 and 2N-7, 8, 9: Retrieved from SRA: SRP039348.	Samples DS 1-6 and 2N 1-6: STAR aligner (version 2.3.1z9) was used to align sequencing files with reference genome. Samples DS-7,8 and 2N-7, 8, 9: Raw read counts obtained from public repository ARCHS4 (Lachmann A, Torre D, Keenan AB, Jagodnik KM, Lee HJ, Wang L, Silverstein MC, Ma’ayan A. Massive mining of publicly available RNA-seq data from human and mouse. Nature Communications 9. Article number: 1366 (2018)). Kallisto was used as aligner according to the publication.	Samples DS 1-6 and 2N 1-6: HTSeq (version 0.6.1p2) was used for quantifying aligned reads.	Genome_build: Samples DS 1-6 and 2N 1-6: hg19 (GRCh37). Samples DS-7,8 and 2N-7, 8, 9: hg38 (According to ARCHS4)	Supplementary_files_format_and_content: TMM_normalized_ReadCounts.txt is a tab delimited text file containing TMM normalized counts for features i.e. counts are normalized between libraries.	GPL11154	Sandipkumar,,Darji	sdarji@nki.rfmh.org	Center for Dementia Research	Nathan Kline Institute for Psychiatric Research	140 Old Orangeburg Rd, Bldg 39	Orangeburg	NY	10962	USA	0	Illumina HiSeq 2000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10985282	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX5406093	NONE	5 months	A	Disomic	Male
WT1-rep3	GSM3618037	Public on Jun 22 2019	Feb 21 2019	Jun 22 2019	SRA	1	Skin Fibroblast	Homo sapiens	condition: Disomic	age: 5 months	gender: Male	batch: A	Cells were were cultured in DMEM medium (Life Technologies #11995-065) containing 10% fetal bovine serum (Life Technologies #10270), 100 mg/L sodium pyruvate, 100 units/mL Penicillin-Streptomycin (Life Technologies #15140-122) at 37°C in a 5% CO2 atmosphere. Cell passage number ranged from p7 to p12, and cells at 85–90% confluency were used.	total RNA	RNA was extracted  using RNeasy Micro Kit (Qiagen) according to the manufacturer’s specifications	500 ng of total RNA were prepared using TruSeq RNA Sample prep kit V2 (Ilumina Inc., San Diego, CA, USA) following manufacturers’ instructions for the samples DS-1-6 and 2N-1-6.  Quality of libraries was assessed using Agilent 2200 TapeStation system. The sequencing files for samples DS-7, DS-8, 2N-7, 2N-8 and 2N-9 were retrieved from SRA: SRP039348.	9606	2N-3	TMM_normalized_ReadCounts.txt	Samples DS 1-6 and 2N 1-6: For base-calling CASAVA version 1.8 was used to generate FASTQ files. Samples DS-7,8 and 2N-7, 8, 9: Retrieved from SRA: SRP039348.	Samples DS 1-6 and 2N 1-6: STAR aligner (version 2.3.1z9) was used to align sequencing files with reference genome. Samples DS-7,8 and 2N-7, 8, 9: Raw read counts obtained from public repository ARCHS4 (Lachmann A, Torre D, Keenan AB, Jagodnik KM, Lee HJ, Wang L, Silverstein MC, Ma’ayan A. Massive mining of publicly available RNA-seq data from human and mouse. Nature Communications 9. Article number: 1366 (2018)). Kallisto was used as aligner according to the publication.	Samples DS 1-6 and 2N 1-6: HTSeq (version 0.6.1p2) was used for quantifying aligned reads.	Genome_build: Samples DS 1-6 and 2N 1-6: hg19 (GRCh37). Samples DS-7,8 and 2N-7, 8, 9: hg38 (According to ARCHS4)	Supplementary_files_format_and_content: TMM_normalized_ReadCounts.txt is a tab delimited text file containing TMM normalized counts for features i.e. counts are normalized between libraries.	GPL11154	Sandipkumar,,Darji	sdarji@nki.rfmh.org	Center for Dementia Research	Nathan Kline Institute for Psychiatric Research	140 Old Orangeburg Rd, Bldg 39	Orangeburg	NY	10962	USA	0	Illumina HiSeq 2000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10985281	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX5406094	NONE	5 months	A	Disomic	Male
WT2-rep1	GSM3618038	Public on Jun 22 2019	Feb 21 2019	Jun 22 2019	SRA	1	Skin Fibroblast	Homo sapiens	condition: Disomic	age: 2 years	gender: Male	batch: A	Cells were were cultured in DMEM medium (Life Technologies #11995-065) containing 10% fetal bovine serum (Life Technologies #10270), 100 mg/L sodium pyruvate, 100 units/mL Penicillin-Streptomycin (Life Technologies #15140-122) at 37°C in a 5% CO2 atmosphere. Cell passage number ranged from p7 to p12, and cells at 85–90% confluency were used.	total RNA	RNA was extracted  using RNeasy Micro Kit (Qiagen) according to the manufacturer’s specifications	500 ng of total RNA were prepared using TruSeq RNA Sample prep kit V2 (Ilumina Inc., San Diego, CA, USA) following manufacturers’ instructions for the samples DS-1-6 and 2N-1-6.  Quality of libraries was assessed using Agilent 2200 TapeStation system. The sequencing files for samples DS-7, DS-8, 2N-7, 2N-8 and 2N-9 were retrieved from SRA: SRP039348.	9606	2N-4	TMM_normalized_ReadCounts.txt	Samples DS 1-6 and 2N 1-6: For base-calling CASAVA version 1.8 was used to generate FASTQ files. Samples DS-7,8 and 2N-7, 8, 9: Retrieved from SRA: SRP039348.	Samples DS 1-6 and 2N 1-6: STAR aligner (version 2.3.1z9) was used to align sequencing files with reference genome. Samples DS-7,8 and 2N-7, 8, 9: Raw read counts obtained from public repository ARCHS4 (Lachmann A, Torre D, Keenan AB, Jagodnik KM, Lee HJ, Wang L, Silverstein MC, Ma’ayan A. Massive mining of publicly available RNA-seq data from human and mouse. Nature Communications 9. Article number: 1366 (2018)). Kallisto was used as aligner according to the publication.	Samples DS 1-6 and 2N 1-6: HTSeq (version 0.6.1p2) was used for quantifying aligned reads.	Genome_build: Samples DS 1-6 and 2N 1-6: hg19 (GRCh37). Samples DS-7,8 and 2N-7, 8, 9: hg38 (According to ARCHS4)	Supplementary_files_format_and_content: TMM_normalized_ReadCounts.txt is a tab delimited text file containing TMM normalized counts for features i.e. counts are normalized between libraries.	GPL11154	Sandipkumar,,Darji	sdarji@nki.rfmh.org	Center for Dementia Research	Nathan Kline Institute for Psychiatric Research	140 Old Orangeburg Rd, Bldg 39	Orangeburg	NY	10962	USA	0	Illumina HiSeq 2000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN10985280	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX5406095	NONE	2 years	A	Disomic	Male
