title	geo_accession	status	submission_date	last_update_date	type	channel_count	source_name_ch1	organism_ch1	characteristics_ch1	characteristics_ch1.1	characteristics_ch1.2	growth_protocol_ch1	molecule_ch1	extract_protocol_ch1	extract_protocol_ch1.1	taxid_ch1	data_processing	data_processing.1	platform_id	contact_name	contact_email	contact_phone	contact_laboratory	contact_institute	contact_address	contact_city	contact_zip/postal_code	contact_country	data_row_count	instrument_model	library_selection	library_source	library_strategy	relation	relation.1	supplementary_file_1	cell line:ch1	cell type:ch1	genotype/variation:ch1
HCT116 wt rep1	GSM3768070	Public on May 16 2019	May 15 2019	May 16 2019	SRA	1	HCT116 cell line wild-type	Homo sapiens	cell type: human colon carcinoma cell line	genotype/variation: wild-type	cell line: HCT116	Cells were maintained in 10 cm dishes in Dulbecco’s Modified Eagle Medium (DMEM) at 37°C and 5% CO2. Culture medium was supplemented with growth factors from 10% fetal bovine serum (FBS) and 1% Penicillin/ Streptavidin to avoid bacterial growth and contamination.	total RNA	Total RNA was extracted using RNeasy Mini Kit (QIAGEN).	TruSeq RNA library preparation and Illumina HiSeq2500 sequencing with 25 million 150bp single reads per library were performed by the Max Planck-Genome-Center Cologne, Germany.	9606	After quality control, reads were mapped using TopHat2 (v 2.0.9, default settings) against the Human Genome (version hg19).	Differential expression (log2FC, p-value, q-value) was done with cuffdiff (v2.1.1, default settings) using the accepted_hits.bam file for each sample comparing wild-type to trisomic cell line.	GPL16791	Bianca,Habermann,Hermine	bianca.habermann@univ-amu.fr	+33 (0)4 91 26 92 36	Computational Biology	Aix-Marseille University, CNRS, IBDM UMR 7288, 13009 Marseille, France	163 Avenue de Luminy	Marseille	13009	France	0	Illumina HiSeq 2500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN11653565	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX5835170	NONE	HCT116	human colon carcinoma cell line	wild-type
HCT116 wt rep2	GSM3768071	Public on May 16 2019	May 15 2019	May 16 2019	SRA	1	HCT116 cell line wild-type	Homo sapiens	cell type: human colon carcinoma cell line	genotype/variation: wild-type	cell line: HCT116	Cells were maintained in 10 cm dishes in Dulbecco’s Modified Eagle Medium (DMEM) at 37°C and 5% CO2. Culture medium was supplemented with growth factors from 10% fetal bovine serum (FBS) and 1% Penicillin/ Streptavidin to avoid bacterial growth and contamination.	total RNA	Total RNA was extracted using RNeasy Mini Kit (QIAGEN).	TruSeq RNA library preparation and Illumina HiSeq2500 sequencing with 25 million 150bp single reads per library were performed by the Max Planck-Genome-Center Cologne, Germany.	9606	After quality control, reads were mapped using TopHat2 (v 2.0.9, default settings) against the Human Genome (version hg19).	Differential expression (log2FC, p-value, q-value) was done with cuffdiff (v2.1.1, default settings) using the accepted_hits.bam file for each sample comparing wild-type to trisomic cell line.	GPL16791	Bianca,Habermann,Hermine	bianca.habermann@univ-amu.fr	+33 (0)4 91 26 92 36	Computational Biology	Aix-Marseille University, CNRS, IBDM UMR 7288, 13009 Marseille, France	163 Avenue de Luminy	Marseille	13009	France	0	Illumina HiSeq 2500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN11653564	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX5835171	NONE	HCT116	human colon carcinoma cell line	wild-type
HCT116 wt rep3	GSM3768072	Public on May 16 2019	May 15 2019	May 16 2019	SRA	1	HCT116 cell line wild-type	Homo sapiens	cell type: human colon carcinoma cell line	genotype/variation: wild-type	cell line: HCT116	Cells were maintained in 10 cm dishes in Dulbecco’s Modified Eagle Medium (DMEM) at 37°C and 5% CO2. Culture medium was supplemented with growth factors from 10% fetal bovine serum (FBS) and 1% Penicillin/ Streptavidin to avoid bacterial growth and contamination.	total RNA	Total RNA was extracted using RNeasy Mini Kit (QIAGEN).	TruSeq RNA library preparation and Illumina HiSeq2500 sequencing with 25 million 150bp single reads per library were performed by the Max Planck-Genome-Center Cologne, Germany.	9606	After quality control, reads were mapped using TopHat2 (v 2.0.9, default settings) against the Human Genome (version hg19).	Differential expression (log2FC, p-value, q-value) was done with cuffdiff (v2.1.1, default settings) using the accepted_hits.bam file for each sample comparing wild-type to trisomic cell line.	GPL16791	Bianca,Habermann,Hermine	bianca.habermann@univ-amu.fr	+33 (0)4 91 26 92 36	Computational Biology	Aix-Marseille University, CNRS, IBDM UMR 7288, 13009 Marseille, France	163 Avenue de Luminy	Marseille	13009	France	0	Illumina HiSeq 2500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN11653563	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX5835172	NONE	HCT116	human colon carcinoma cell line	wild-type
HCT116 21.3 c1 rep1	GSM3768073	Public on May 16 2019	May 15 2019	May 16 2019	SRA	1	HCT116 cell line trisomic for chr. 21 clone 1	Homo sapiens	cell type: human colon carcinoma cell line	genotype/variation: aneuploidy: trisomy of chromosome 21	cell line: HCT116	Cells were maintained in 10 cm dishes in Dulbecco’s Modified Eagle Medium (DMEM) at 37°C and 5% CO2. Culture medium was supplemented with growth factors from 10% fetal bovine serum (FBS) and 1% Penicillin/ Streptavidin to avoid bacterial growth and contamination.	total RNA	Total RNA was extracted using RNeasy Mini Kit (QIAGEN).	TruSeq RNA library preparation and Illumina HiSeq2500 sequencing with 25 million 150bp single reads per library were performed by the Max Planck-Genome-Center Cologne, Germany.	9606	After quality control, reads were mapped using TopHat2 (v 2.0.9, default settings) against the Human Genome (version hg19).	Differential expression (log2FC, p-value, q-value) was done with cuffdiff (v2.1.1, default settings) using the accepted_hits.bam file for each sample comparing wild-type to trisomic cell line.	GPL16791	Bianca,Habermann,Hermine	bianca.habermann@univ-amu.fr	+33 (0)4 91 26 92 36	Computational Biology	Aix-Marseille University, CNRS, IBDM UMR 7288, 13009 Marseille, France	163 Avenue de Luminy	Marseille	13009	France	0	Illumina HiSeq 2500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN11653562	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX5835173	NONE	HCT116	human colon carcinoma cell line	aneuploidy: trisomy of chromosome 21
HCT116 21.3 c1 rep2	GSM3768074	Public on May 16 2019	May 15 2019	May 16 2019	SRA	1	HCT116 cell line trisomic for chr. 21 clone 1	Homo sapiens	cell type: human colon carcinoma cell line	genotype/variation: aneuploidy: trisomy of chromosome 21	cell line: HCT116	Cells were maintained in 10 cm dishes in Dulbecco’s Modified Eagle Medium (DMEM) at 37°C and 5% CO2. Culture medium was supplemented with growth factors from 10% fetal bovine serum (FBS) and 1% Penicillin/ Streptavidin to avoid bacterial growth and contamination.	total RNA	Total RNA was extracted using RNeasy Mini Kit (QIAGEN).	TruSeq RNA library preparation and Illumina HiSeq2500 sequencing with 25 million 150bp single reads per library were performed by the Max Planck-Genome-Center Cologne, Germany.	9606	After quality control, reads were mapped using TopHat2 (v 2.0.9, default settings) against the Human Genome (version hg19).	Differential expression (log2FC, p-value, q-value) was done with cuffdiff (v2.1.1, default settings) using the accepted_hits.bam file for each sample comparing wild-type to trisomic cell line.	GPL16791	Bianca,Habermann,Hermine	bianca.habermann@univ-amu.fr	+33 (0)4 91 26 92 36	Computational Biology	Aix-Marseille University, CNRS, IBDM UMR 7288, 13009 Marseille, France	163 Avenue de Luminy	Marseille	13009	France	0	Illumina HiSeq 2500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN11653561	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX5835174	NONE	HCT116	human colon carcinoma cell line	aneuploidy: trisomy of chromosome 21
HCT116 21.3 c1 rep3	GSM3768075	Public on May 16 2019	May 15 2019	May 16 2019	SRA	1	HCT116 cell line trisomic for chr. 21 clone 1	Homo sapiens	cell type: human colon carcinoma cell line	genotype/variation: aneuploidy: trisomy of chromosome 21	cell line: HCT116	Cells were maintained in 10 cm dishes in Dulbecco’s Modified Eagle Medium (DMEM) at 37°C and 5% CO2. Culture medium was supplemented with growth factors from 10% fetal bovine serum (FBS) and 1% Penicillin/ Streptavidin to avoid bacterial growth and contamination.	total RNA	Total RNA was extracted using RNeasy Mini Kit (QIAGEN).	TruSeq RNA library preparation and Illumina HiSeq2500 sequencing with 25 million 150bp single reads per library were performed by the Max Planck-Genome-Center Cologne, Germany.	9606	After quality control, reads were mapped using TopHat2 (v 2.0.9, default settings) against the Human Genome (version hg19).	Differential expression (log2FC, p-value, q-value) was done with cuffdiff (v2.1.1, default settings) using the accepted_hits.bam file for each sample comparing wild-type to trisomic cell line.	GPL16791	Bianca,Habermann,Hermine	bianca.habermann@univ-amu.fr	+33 (0)4 91 26 92 36	Computational Biology	Aix-Marseille University, CNRS, IBDM UMR 7288, 13009 Marseille, France	163 Avenue de Luminy	Marseille	13009	France	0	Illumina HiSeq 2500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN11653560	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX5835175	NONE	HCT116	human colon carcinoma cell line	aneuploidy: trisomy of chromosome 21
HCT116 21.3 c3 rep1	GSM3768076	Public on May 16 2019	May 15 2019	May 16 2019	SRA	1	HCT116 cell line trisomic for chr. 21 clone 3	Homo sapiens	cell type: human colon carcinoma cell line	genotype/variation: aneuploidy: trisomy of chromosome 21	cell line: HCT116	Cells were maintained in 10 cm dishes in Dulbecco’s Modified Eagle Medium (DMEM) at 37°C and 5% CO2. Culture medium was supplemented with growth factors from 10% fetal bovine serum (FBS) and 1% Penicillin/ Streptavidin to avoid bacterial growth and contamination.	total RNA	Total RNA was extracted using RNeasy Mini Kit (QIAGEN).	TruSeq RNA library preparation and Illumina HiSeq2500 sequencing with 25 million 150bp single reads per library were performed by the Max Planck-Genome-Center Cologne, Germany.	9606	After quality control, reads were mapped using TopHat2 (v 2.0.9, default settings) against the Human Genome (version hg19).	Differential expression (log2FC, p-value, q-value) was done with cuffdiff (v2.1.1, default settings) using the accepted_hits.bam file for each sample comparing wild-type to trisomic cell line.	GPL16791	Bianca,Habermann,Hermine	bianca.habermann@univ-amu.fr	+33 (0)4 91 26 92 36	Computational Biology	Aix-Marseille University, CNRS, IBDM UMR 7288, 13009 Marseille, France	163 Avenue de Luminy	Marseille	13009	France	0	Illumina HiSeq 2500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN11653559	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX5835176	NONE	HCT116	human colon carcinoma cell line	aneuploidy: trisomy of chromosome 21
HCT116 21.3 c3 rep2	GSM3768077	Public on May 16 2019	May 15 2019	May 16 2019	SRA	1	HCT116 cell line trisomic for chr. 21 clone 3	Homo sapiens	cell type: human colon carcinoma cell line	genotype/variation: aneuploidy: trisomy of chromosome 21	cell line: HCT116	Cells were maintained in 10 cm dishes in Dulbecco’s Modified Eagle Medium (DMEM) at 37°C and 5% CO2. Culture medium was supplemented with growth factors from 10% fetal bovine serum (FBS) and 1% Penicillin/ Streptavidin to avoid bacterial growth and contamination.	total RNA	Total RNA was extracted using RNeasy Mini Kit (QIAGEN).	TruSeq RNA library preparation and Illumina HiSeq2500 sequencing with 25 million 150bp single reads per library were performed by the Max Planck-Genome-Center Cologne, Germany.	9606	After quality control, reads were mapped using TopHat2 (v 2.0.9, default settings) against the Human Genome (version hg19).	Differential expression (log2FC, p-value, q-value) was done with cuffdiff (v2.1.1, default settings) using the accepted_hits.bam file for each sample comparing wild-type to trisomic cell line.	GPL16791	Bianca,Habermann,Hermine	bianca.habermann@univ-amu.fr	+33 (0)4 91 26 92 36	Computational Biology	Aix-Marseille University, CNRS, IBDM UMR 7288, 13009 Marseille, France	163 Avenue de Luminy	Marseille	13009	France	0	Illumina HiSeq 2500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN11653558	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX5835177	NONE	HCT116	human colon carcinoma cell line	aneuploidy: trisomy of chromosome 21
HCT116 21.3 c3 rep3	GSM3768078	Public on May 16 2019	May 15 2019	May 16 2019	SRA	1	HCT116 cell line trisomic for chr. 21 clone 3	Homo sapiens	cell type: human colon carcinoma cell line	genotype/variation: aneuploidy: trisomy of chromosome 21	cell line: HCT116	Cells were maintained in 10 cm dishes in Dulbecco’s Modified Eagle Medium (DMEM) at 37°C and 5% CO2. Culture medium was supplemented with growth factors from 10% fetal bovine serum (FBS) and 1% Penicillin/ Streptavidin to avoid bacterial growth and contamination.	total RNA	Total RNA was extracted using RNeasy Mini Kit (QIAGEN).	TruSeq RNA library preparation and Illumina HiSeq2500 sequencing with 25 million 150bp single reads per library were performed by the Max Planck-Genome-Center Cologne, Germany.	9606	After quality control, reads were mapped using TopHat2 (v 2.0.9, default settings) against the Human Genome (version hg19).	Differential expression (log2FC, p-value, q-value) was done with cuffdiff (v2.1.1, default settings) using the accepted_hits.bam file for each sample comparing wild-type to trisomic cell line.	GPL16791	Bianca,Habermann,Hermine	bianca.habermann@univ-amu.fr	+33 (0)4 91 26 92 36	Computational Biology	Aix-Marseille University, CNRS, IBDM UMR 7288, 13009 Marseille, France	163 Avenue de Luminy	Marseille	13009	France	0	Illumina HiSeq 2500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN11653557	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX5835178	NONE	HCT116	human colon carcinoma cell line	aneuploidy: trisomy of chromosome 21
RPE1H2B wt rep1	GSM3768079	Public on May 16 2019	May 15 2019	May 16 2019	SRA	1	RPE1 cell line wild-type	Homo sapiens	cell type: human retinal pigment epithelial cell line,  immortalized with hTERT	genotype/variation: stable expression: H2B tagged with GFP	cell line: RPE1 hTERT H2B	Cells were maintained in 10 cm dishes in Dulbecco’s Modified Eagle Medium (DMEM) at 37°C and 5% CO2. Culture medium was supplemented with growth factors from 10% fetal bovine serum (FBS) and 1% Penicillin/ Streptavidin to avoid bacterial growth and contamination.	total RNA	Total RNA was extracted using RNeasy Mini Kit (QIAGEN).	TruSeq RNA library preparation and Illumina HiSeq2500 sequencing with 25 million 150bp single reads per library were performed by the Max Planck-Genome-Center Cologne, Germany.	9606	After quality control, reads were mapped using TopHat2 (v 2.0.9, default settings) against the Human Genome (version hg19).	Differential expression (log2FC, p-value, q-value) was done with cuffdiff (v2.1.1, default settings) using the accepted_hits.bam file for each sample comparing wild-type to trisomic cell line.	GPL16791	Bianca,Habermann,Hermine	bianca.habermann@univ-amu.fr	+33 (0)4 91 26 92 36	Computational Biology	Aix-Marseille University, CNRS, IBDM UMR 7288, 13009 Marseille, France	163 Avenue de Luminy	Marseille	13009	France	0	Illumina HiSeq 2500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN11653556	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX5835179	NONE	RPE1 hTERT H2B	human retinal pigment epithelial cell line,  immortalized with hTERT	stable expression: H2B tagged with GFP
