title	geo_accession	status	submission_date	last_update_date	type	channel_count	source_name_ch1	organism_ch1	characteristics_ch1	characteristics_ch1.1	growth_protocol_ch1	molecule_ch1	extract_protocol_ch1	extract_protocol_ch1.1	taxid_ch1	description	description.1	data_processing	data_processing.1	data_processing.2	data_processing.3	data_processing.4	platform_id	contact_name	contact_laboratory	contact_department	contact_institute	contact_address	contact_city	contact_state	contact_zip/postal_code	contact_country	data_row_count	instrument_model	library_selection	library_source	library_strategy	relation	relation.1	supplementary_file_1	cell type:ch1	genotype/variation:ch1
RNAseq Euploid_neuron_E04	GSM4299665	Public on Aug 05 2022	Feb 06 2020	Aug 05 2022	SRA	1	neurons	Homo sapiens	cell type: iPSC derived neurons	genotype/variation: Euploid control neurons	All hPSCs were grown and maintained in mTeSR medium on geltrex coated plates; hPSC derived neurons were generated by transduction with Ngn2 ectopic expression constructs with the addition of SMAD inhibitors, WNT inhibitors and neurotrophins.	total RNA	For RNAseq, RNA was extracted using the AllPrep DNA/RNA/miRNA universal kit (Qiagen). For eCLIP-seq, cells were UV crosslinked, lysed, sonicated and treated with RNAse I followed by IP, processing and reverse transcripion using AffinityScript. cDNAs were adaptor ligated.	For RNAseq, libraries were prepared using the Illumina TruSeq HS Stranded Total RNA kit with Ribo-Zero Gold for rRNA depletion. For eCLIP-seq, libraries were generated using Q5 PCR mix.	9606	counts_raw-2019-12-06.csv	counts_tpm-2019-12-06.csv	Sequenced reads were assessed for low-quality sequence, then mapped against the GRCh38_98 transcriptome where reads were quantified at the transcript level using Salmon	Transcript-level abundance estimates  from Salmon were collapsed to gene-leve estimates and  converted to raw count values using the R Bioconductor package tximport	Differentially expressed genes were identified using the R Bioconductor package DESeq2	Genome_build: GRCh38.90	Supplementary_files_format_and_content: comma separated file of raw count matrix where columns correspond to samples and rows correspond to genes; comma separated file of transcript per million counts where columns correspond to samples and rows correspond to genes	GPL16791	VICTOR,,BARRERA BURGOS	Bioinformatics Core	Biostatistics	Harvard School of Public Health	Landmark 401 Park Drive 3 East	Boston	Massachusetts	02115	USA	0	Illumina HiSeq 2500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN14051178	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX7687174	NONE	iPSC derived neurons	Euploid control neurons
RNAseq Euploid_neuron_E06	GSM4299666	Public on Aug 05 2022	Feb 06 2020	Aug 05 2022	SRA	1	neurons	Homo sapiens	cell type: iPSC derived neurons	genotype/variation: Euploid control neurons	All hPSCs were grown and maintained in mTeSR medium on geltrex coated plates; hPSC derived neurons were generated by transduction with Ngn2 ectopic expression constructs with the addition of SMAD inhibitors, WNT inhibitors and neurotrophins.	total RNA	For RNAseq, RNA was extracted using the AllPrep DNA/RNA/miRNA universal kit (Qiagen). For eCLIP-seq, cells were UV crosslinked, lysed, sonicated and treated with RNAse I followed by IP, processing and reverse transcripion using AffinityScript. cDNAs were adaptor ligated.	For RNAseq, libraries were prepared using the Illumina TruSeq HS Stranded Total RNA kit with Ribo-Zero Gold for rRNA depletion. For eCLIP-seq, libraries were generated using Q5 PCR mix.	9606	counts_raw-2019-12-06.csv	counts_tpm-2019-12-06.csv	Sequenced reads were assessed for low-quality sequence, then mapped against the GRCh38_98 transcriptome where reads were quantified at the transcript level using Salmon	Transcript-level abundance estimates  from Salmon were collapsed to gene-leve estimates and  converted to raw count values using the R Bioconductor package tximport	Differentially expressed genes were identified using the R Bioconductor package DESeq2	Genome_build: GRCh38.90	Supplementary_files_format_and_content: comma separated file of raw count matrix where columns correspond to samples and rows correspond to genes; comma separated file of transcript per million counts where columns correspond to samples and rows correspond to genes	GPL16791	VICTOR,,BARRERA BURGOS	Bioinformatics Core	Biostatistics	Harvard School of Public Health	Landmark 401 Park Drive 3 East	Boston	Massachusetts	02115	USA	0	Illumina HiSeq 2500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN14051177	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX7687175	NONE	iPSC derived neurons	Euploid control neurons
RNAseq Euploid_neuron_F01	GSM4299667	Public on Aug 05 2022	Feb 06 2020	Aug 05 2022	SRA	1	neurons	Homo sapiens	cell type: iPSC derived neurons	genotype/variation: Euploid control neurons	All hPSCs were grown and maintained in mTeSR medium on geltrex coated plates; hPSC derived neurons were generated by transduction with Ngn2 ectopic expression constructs with the addition of SMAD inhibitors, WNT inhibitors and neurotrophins.	total RNA	For RNAseq, RNA was extracted using the AllPrep DNA/RNA/miRNA universal kit (Qiagen). For eCLIP-seq, cells were UV crosslinked, lysed, sonicated and treated with RNAse I followed by IP, processing and reverse transcripion using AffinityScript. cDNAs were adaptor ligated.	For RNAseq, libraries were prepared using the Illumina TruSeq HS Stranded Total RNA kit with Ribo-Zero Gold for rRNA depletion. For eCLIP-seq, libraries were generated using Q5 PCR mix.	9606	counts_raw-2019-12-06.csv	counts_tpm-2019-12-06.csv	Sequenced reads were assessed for low-quality sequence, then mapped against the GRCh38_98 transcriptome where reads were quantified at the transcript level using Salmon	Transcript-level abundance estimates  from Salmon were collapsed to gene-leve estimates and  converted to raw count values using the R Bioconductor package tximport	Differentially expressed genes were identified using the R Bioconductor package DESeq2	Genome_build: GRCh38.90	Supplementary_files_format_and_content: comma separated file of raw count matrix where columns correspond to samples and rows correspond to genes; comma separated file of transcript per million counts where columns correspond to samples and rows correspond to genes	GPL16791	VICTOR,,BARRERA BURGOS	Bioinformatics Core	Biostatistics	Harvard School of Public Health	Landmark 401 Park Drive 3 East	Boston	Massachusetts	02115	USA	0	Illumina HiSeq 2500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN14051176	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX7687176	NONE	iPSC derived neurons	Euploid control neurons
RNAseq Euploid_neuron_F02	GSM4299668	Public on Aug 05 2022	Feb 06 2020	Aug 05 2022	SRA	1	neurons	Homo sapiens	cell type: iPSC derived neurons	genotype/variation: Euploid control neurons	All hPSCs were grown and maintained in mTeSR medium on geltrex coated plates; hPSC derived neurons were generated by transduction with Ngn2 ectopic expression constructs with the addition of SMAD inhibitors, WNT inhibitors and neurotrophins.	total RNA	For RNAseq, RNA was extracted using the AllPrep DNA/RNA/miRNA universal kit (Qiagen). For eCLIP-seq, cells were UV crosslinked, lysed, sonicated and treated with RNAse I followed by IP, processing and reverse transcripion using AffinityScript. cDNAs were adaptor ligated.	For RNAseq, libraries were prepared using the Illumina TruSeq HS Stranded Total RNA kit with Ribo-Zero Gold for rRNA depletion. For eCLIP-seq, libraries were generated using Q5 PCR mix.	9606	counts_raw-2019-12-06.csv	counts_tpm-2019-12-06.csv	Sequenced reads were assessed for low-quality sequence, then mapped against the GRCh38_98 transcriptome where reads were quantified at the transcript level using Salmon	Transcript-level abundance estimates  from Salmon were collapsed to gene-leve estimates and  converted to raw count values using the R Bioconductor package tximport	Differentially expressed genes were identified using the R Bioconductor package DESeq2	Genome_build: GRCh38.90	Supplementary_files_format_and_content: comma separated file of raw count matrix where columns correspond to samples and rows correspond to genes; comma separated file of transcript per million counts where columns correspond to samples and rows correspond to genes	GPL16791	VICTOR,,BARRERA BURGOS	Bioinformatics Core	Biostatistics	Harvard School of Public Health	Landmark 401 Park Drive 3 East	Boston	Massachusetts	02115	USA	0	Illumina HiSeq 2500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN14051175	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX7687177	NONE	iPSC derived neurons	Euploid control neurons
RNAseq Euploid_neuron_F04	GSM4299669	Public on Aug 05 2022	Feb 06 2020	Aug 05 2022	SRA	1	neurons	Homo sapiens	cell type: iPSC derived neurons	genotype/variation: Euploid control neurons	All hPSCs were grown and maintained in mTeSR medium on geltrex coated plates; hPSC derived neurons were generated by transduction with Ngn2 ectopic expression constructs with the addition of SMAD inhibitors, WNT inhibitors and neurotrophins.	total RNA	For RNAseq, RNA was extracted using the AllPrep DNA/RNA/miRNA universal kit (Qiagen). For eCLIP-seq, cells were UV crosslinked, lysed, sonicated and treated with RNAse I followed by IP, processing and reverse transcripion using AffinityScript. cDNAs were adaptor ligated.	For RNAseq, libraries were prepared using the Illumina TruSeq HS Stranded Total RNA kit with Ribo-Zero Gold for rRNA depletion. For eCLIP-seq, libraries were generated using Q5 PCR mix.	9606	counts_raw-2019-12-06.csv	counts_tpm-2019-12-06.csv	Sequenced reads were assessed for low-quality sequence, then mapped against the GRCh38_98 transcriptome where reads were quantified at the transcript level using Salmon	Transcript-level abundance estimates  from Salmon were collapsed to gene-leve estimates and  converted to raw count values using the R Bioconductor package tximport	Differentially expressed genes were identified using the R Bioconductor package DESeq2	Genome_build: GRCh38.90	Supplementary_files_format_and_content: comma separated file of raw count matrix where columns correspond to samples and rows correspond to genes; comma separated file of transcript per million counts where columns correspond to samples and rows correspond to genes	GPL16791	VICTOR,,BARRERA BURGOS	Bioinformatics Core	Biostatistics	Harvard School of Public Health	Landmark 401 Park Drive 3 East	Boston	Massachusetts	02115	USA	0	Illumina HiSeq 2500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN14051174	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX7687178	NONE	iPSC derived neurons	Euploid control neurons
RNAseq Euploid_stemcell_D01	GSM4299670	Public on Aug 05 2022	Feb 06 2020	Aug 05 2022	SRA	1	hPSCs	Homo sapiens	cell type: iPSCs	genotype/variation: Euploid control hPSCs	All hPSCs were grown and maintained in mTeSR medium on geltrex coated plates; hPSC derived neurons were generated by transduction with Ngn2 ectopic expression constructs with the addition of SMAD inhibitors, WNT inhibitors and neurotrophins.	total RNA	For RNAseq, RNA was extracted using the AllPrep DNA/RNA/miRNA universal kit (Qiagen). For eCLIP-seq, cells were UV crosslinked, lysed, sonicated and treated with RNAse I followed by IP, processing and reverse transcripion using AffinityScript. cDNAs were adaptor ligated.	For RNAseq, libraries were prepared using the Illumina TruSeq HS Stranded Total RNA kit with Ribo-Zero Gold for rRNA depletion. For eCLIP-seq, libraries were generated using Q5 PCR mix.	9606	counts_raw-2019-12-06.csv	counts_tpm-2019-12-06.csv	Sequenced reads were assessed for low-quality sequence, then mapped against the GRCh38_98 transcriptome where reads were quantified at the transcript level using Salmon	Transcript-level abundance estimates  from Salmon were collapsed to gene-leve estimates and  converted to raw count values using the R Bioconductor package tximport	Differentially expressed genes were identified using the R Bioconductor package DESeq2	Genome_build: GRCh38.90	Supplementary_files_format_and_content: comma separated file of raw count matrix where columns correspond to samples and rows correspond to genes; comma separated file of transcript per million counts where columns correspond to samples and rows correspond to genes	GPL16791	VICTOR,,BARRERA BURGOS	Bioinformatics Core	Biostatistics	Harvard School of Public Health	Landmark 401 Park Drive 3 East	Boston	Massachusetts	02115	USA	0	Illumina HiSeq 2500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN14051173	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX7687179	NONE	iPSCs	Euploid control hPSCs
RNAseq Euploid_stemcell_D02	GSM4299671	Public on Aug 05 2022	Feb 06 2020	Aug 05 2022	SRA	1	hPSCs	Homo sapiens	cell type: iPSCs	genotype/variation: Euploid control hPSCs	All hPSCs were grown and maintained in mTeSR medium on geltrex coated plates; hPSC derived neurons were generated by transduction with Ngn2 ectopic expression constructs with the addition of SMAD inhibitors, WNT inhibitors and neurotrophins.	total RNA	For RNAseq, RNA was extracted using the AllPrep DNA/RNA/miRNA universal kit (Qiagen). For eCLIP-seq, cells were UV crosslinked, lysed, sonicated and treated with RNAse I followed by IP, processing and reverse transcripion using AffinityScript. cDNAs were adaptor ligated.	For RNAseq, libraries were prepared using the Illumina TruSeq HS Stranded Total RNA kit with Ribo-Zero Gold for rRNA depletion. For eCLIP-seq, libraries were generated using Q5 PCR mix.	9606	counts_raw-2019-12-06.csv	counts_tpm-2019-12-06.csv	Sequenced reads were assessed for low-quality sequence, then mapped against the GRCh38_98 transcriptome where reads were quantified at the transcript level using Salmon	Transcript-level abundance estimates  from Salmon were collapsed to gene-leve estimates and  converted to raw count values using the R Bioconductor package tximport	Differentially expressed genes were identified using the R Bioconductor package DESeq2	Genome_build: GRCh38.90	Supplementary_files_format_and_content: comma separated file of raw count matrix where columns correspond to samples and rows correspond to genes; comma separated file of transcript per million counts where columns correspond to samples and rows correspond to genes	GPL16791	VICTOR,,BARRERA BURGOS	Bioinformatics Core	Biostatistics	Harvard School of Public Health	Landmark 401 Park Drive 3 East	Boston	Massachusetts	02115	USA	0	Illumina HiSeq 2500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN14051172	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX7687180	NONE	iPSCs	Euploid control hPSCs
RNAseq Euploid_stemcell_D03	GSM4299672	Public on Aug 05 2022	Feb 06 2020	Aug 05 2022	SRA	1	hPSCs	Homo sapiens	cell type: iPSCs	genotype/variation: Euploid control hPSCs	All hPSCs were grown and maintained in mTeSR medium on geltrex coated plates; hPSC derived neurons were generated by transduction with Ngn2 ectopic expression constructs with the addition of SMAD inhibitors, WNT inhibitors and neurotrophins.	total RNA	For RNAseq, RNA was extracted using the AllPrep DNA/RNA/miRNA universal kit (Qiagen). For eCLIP-seq, cells were UV crosslinked, lysed, sonicated and treated with RNAse I followed by IP, processing and reverse transcripion using AffinityScript. cDNAs were adaptor ligated.	For RNAseq, libraries were prepared using the Illumina TruSeq HS Stranded Total RNA kit with Ribo-Zero Gold for rRNA depletion. For eCLIP-seq, libraries were generated using Q5 PCR mix.	9606	counts_raw-2019-12-06.csv	counts_tpm-2019-12-06.csv	Sequenced reads were assessed for low-quality sequence, then mapped against the GRCh38_98 transcriptome where reads were quantified at the transcript level using Salmon	Transcript-level abundance estimates  from Salmon were collapsed to gene-leve estimates and  converted to raw count values using the R Bioconductor package tximport	Differentially expressed genes were identified using the R Bioconductor package DESeq2	Genome_build: GRCh38.90	Supplementary_files_format_and_content: comma separated file of raw count matrix where columns correspond to samples and rows correspond to genes; comma separated file of transcript per million counts where columns correspond to samples and rows correspond to genes	GPL16791	VICTOR,,BARRERA BURGOS	Bioinformatics Core	Biostatistics	Harvard School of Public Health	Landmark 401 Park Drive 3 East	Boston	Massachusetts	02115	USA	0	Illumina HiSeq 2500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN14051171	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX7687181	NONE	iPSCs	Euploid control hPSCs
RNAseq Euploid_stemcell_D05	GSM4299673	Public on Aug 05 2022	Feb 06 2020	Aug 05 2022	SRA	1	hPSCs	Homo sapiens	cell type: iPSCs	genotype/variation: Euploid control hPSCs	All hPSCs were grown and maintained in mTeSR medium on geltrex coated plates; hPSC derived neurons were generated by transduction with Ngn2 ectopic expression constructs with the addition of SMAD inhibitors, WNT inhibitors and neurotrophins.	total RNA	For RNAseq, RNA was extracted using the AllPrep DNA/RNA/miRNA universal kit (Qiagen). For eCLIP-seq, cells were UV crosslinked, lysed, sonicated and treated with RNAse I followed by IP, processing and reverse transcripion using AffinityScript. cDNAs were adaptor ligated.	For RNAseq, libraries were prepared using the Illumina TruSeq HS Stranded Total RNA kit with Ribo-Zero Gold for rRNA depletion. For eCLIP-seq, libraries were generated using Q5 PCR mix.	9606	counts_raw-2019-12-06.csv	counts_tpm-2019-12-06.csv	Sequenced reads were assessed for low-quality sequence, then mapped against the GRCh38_98 transcriptome where reads were quantified at the transcript level using Salmon	Transcript-level abundance estimates  from Salmon were collapsed to gene-leve estimates and  converted to raw count values using the R Bioconductor package tximport	Differentially expressed genes were identified using the R Bioconductor package DESeq2	Genome_build: GRCh38.90	Supplementary_files_format_and_content: comma separated file of raw count matrix where columns correspond to samples and rows correspond to genes; comma separated file of transcript per million counts where columns correspond to samples and rows correspond to genes	GPL16791	VICTOR,,BARRERA BURGOS	Bioinformatics Core	Biostatistics	Harvard School of Public Health	Landmark 401 Park Drive 3 East	Boston	Massachusetts	02115	USA	0	Illumina HiSeq 2500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN14051170	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX7687182	NONE	iPSCs	Euploid control hPSCs
RNAseq Euploid_stemcell_D06	GSM4299674	Public on Aug 05 2022	Feb 06 2020	Aug 05 2022	SRA	1	hPSCs	Homo sapiens	cell type: iPSCs	genotype/variation: Euploid control hPSCs	All hPSCs were grown and maintained in mTeSR medium on geltrex coated plates; hPSC derived neurons were generated by transduction with Ngn2 ectopic expression constructs with the addition of SMAD inhibitors, WNT inhibitors and neurotrophins.	total RNA	For RNAseq, RNA was extracted using the AllPrep DNA/RNA/miRNA universal kit (Qiagen). For eCLIP-seq, cells were UV crosslinked, lysed, sonicated and treated with RNAse I followed by IP, processing and reverse transcripion using AffinityScript. cDNAs were adaptor ligated.	For RNAseq, libraries were prepared using the Illumina TruSeq HS Stranded Total RNA kit with Ribo-Zero Gold for rRNA depletion. For eCLIP-seq, libraries were generated using Q5 PCR mix.	9606	counts_raw-2019-12-06.csv	counts_tpm-2019-12-06.csv	Sequenced reads were assessed for low-quality sequence, then mapped against the GRCh38_98 transcriptome where reads were quantified at the transcript level using Salmon	Transcript-level abundance estimates  from Salmon were collapsed to gene-leve estimates and  converted to raw count values using the R Bioconductor package tximport	Differentially expressed genes were identified using the R Bioconductor package DESeq2	Genome_build: GRCh38.90	Supplementary_files_format_and_content: comma separated file of raw count matrix where columns correspond to samples and rows correspond to genes; comma separated file of transcript per million counts where columns correspond to samples and rows correspond to genes	GPL16791	VICTOR,,BARRERA BURGOS	Bioinformatics Core	Biostatistics	Harvard School of Public Health	Landmark 401 Park Drive 3 East	Boston	Massachusetts	02115	USA	0	Illumina HiSeq 2500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN14051168	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX7687183	NONE	iPSCs	Euploid control hPSCs
