title	geo_accession	status	submission_date	last_update_date	type	channel_count	source_name_ch1	organism_ch1	characteristics_ch1	characteristics_ch1.1	biomaterial_provider_ch1	treatment_protocol_ch1	growth_protocol_ch1	molecule_ch1	extract_protocol_ch1	extract_protocol_ch1.1	taxid_ch1	data_processing	data_processing.1	data_processing.2	data_processing.3	data_processing.4	platform_id	contact_name	contact_email	contact_phone	contact_laboratory	contact_department	contact_institute	contact_address	contact_city	contact_state	contact_zip/postal_code	contact_country	data_row_count	instrument_model	library_selection	library_source	library_strategy	relation	relation.1	supplementary_file_1	cell type:ch1	genotype:ch1
Trisomy 13-1	GSM4670820	Public on Oct 22 2020	Jul 14 2020	Dec 01 2020	SRA	1	Coriell #GM00526	Homo sapiens	cell type: Primary fibroblasts	genotype: trisomy 21	Coriell; https://www.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=GM00526	no treatment	Cells were grown for 48 hours and 2 x 10^5 cells were harvested between 50 to 70% confluency. Cells were maintained in Minimum Essential Media (MEM with NEAA; Gibco 10370088) supplemented with 15 % FBS and 2 mM L-glutamine.	total RNA	The RNAeasy Kit from Qiagen (cat # 74104) was used to purify the RNA and a nanoDrop was used to measure concentration. Samples were shipped for on dried ice for transcriptome sequencing to BGI	BGI protocol	9606	Paired-end reads were aligned to human primary genome hg38, with star_2.5.3a 1, annotated with GENECODE GRCh38.p12 annotation release 292.	Aligned exon fragments with mapping quality higher than 20 were counted toward gene expression with featureCounts_1.5.2 3	Expression normalization was performed using the TPM (Transcripts Per Kilobase Million) method.	Genome_build: hg38	Supplementary_files_format_and_content: xlsx, normalized expression values	GPL28038	Eduardo,M,Torres	Eduardo.Torres@umassmed.edu	5088564353	Torres	Department of Molecular, Cell and Cancer Biology	University of Massachusetts Medical School	364 Plantation Street, LRB-523	worcester	MA	01605	USA	0	DNBSEQ-G400	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN15529942	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX8727283	NONE	Primary fibroblasts	trisomy 21
Trisomy 13-2	GSM4670821	Public on Oct 22 2020	Jul 14 2020	Dec 01 2020	SRA	1	Coriell #GM02948	Homo sapiens	cell type: Primary fibroblasts	genotype: trisomy 21	Coriell; https://www.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=GM02948	no treatment	Cells were grown for 48 hours and 2 x 10^5 cells were harvested between 50 to 70% confluency. Cells were maintained in Minimum Essential Media (MEM with NEAA; Gibco 10370088) supplemented with 15 % FBS and 2 mM L-glutamine.	total RNA	The RNAeasy Kit from Qiagen (cat # 74104) was used to purify the RNA and a nanoDrop was used to measure concentration. Samples were shipped for on dried ice for transcriptome sequencing to BGI	BGI protocol	9606	Paired-end reads were aligned to human primary genome hg38, with star_2.5.3a 1, annotated with GENECODE GRCh38.p12 annotation release 292.	Aligned exon fragments with mapping quality higher than 20 were counted toward gene expression with featureCounts_1.5.2 3	Expression normalization was performed using the TPM (Transcripts Per Kilobase Million) method.	Genome_build: hg38	Supplementary_files_format_and_content: xlsx, normalized expression values	GPL28038	Eduardo,M,Torres	Eduardo.Torres@umassmed.edu	5088564353	Torres	Department of Molecular, Cell and Cancer Biology	University of Massachusetts Medical School	364 Plantation Street, LRB-523	worcester	MA	01605	USA	0	DNBSEQ-G400	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN15529941	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX8727284	NONE	Primary fibroblasts	trisomy 21
Trisomy 18-1	GSM4670822	Public on Oct 22 2020	Jul 14 2020	Dec 01 2020	SRA	1	Coriell #GM00734	Homo sapiens	cell type: Primary fibroblasts	genotype: trisomy 21	Coriell; https://www.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=GM00734	no treatment	Cells were grown for 48 hours and 2 x 10^5 cells were harvested between 50 to 70% confluency. Cells were maintained in Minimum Essential Media (MEM with NEAA; Gibco 10370088) supplemented with 15 % FBS and 2 mM L-glutamine.	total RNA	The RNAeasy Kit from Qiagen (cat # 74104) was used to purify the RNA and a nanoDrop was used to measure concentration. Samples were shipped for on dried ice for transcriptome sequencing to BGI	BGI protocol	9606	Paired-end reads were aligned to human primary genome hg38, with star_2.5.3a 1, annotated with GENECODE GRCh38.p12 annotation release 292.	Aligned exon fragments with mapping quality higher than 20 were counted toward gene expression with featureCounts_1.5.2 3	Expression normalization was performed using the TPM (Transcripts Per Kilobase Million) method.	Genome_build: hg38	Supplementary_files_format_and_content: xlsx, normalized expression values	GPL28038	Eduardo,M,Torres	Eduardo.Torres@umassmed.edu	5088564353	Torres	Department of Molecular, Cell and Cancer Biology	University of Massachusetts Medical School	364 Plantation Street, LRB-523	worcester	MA	01605	USA	0	DNBSEQ-G400	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN15529960	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX8727285	NONE	Primary fibroblasts	trisomy 21
Trisomy 18-2	GSM4670823	Public on Oct 22 2020	Jul 14 2020	Dec 01 2020	SRA	1	Coriell #GM03538	Homo sapiens	cell type: Primary fibroblasts	genotype: trisomy 21	Coriell; https://www.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=GM03538	no treatment	Cells were grown for 48 hours and 2 x 10^5 cells were harvested between 50 to 70% confluency. Cells were maintained in Minimum Essential Media (MEM with NEAA; Gibco 10370088) supplemented with 15 % FBS and 2 mM L-glutamine.	total RNA	The RNAeasy Kit from Qiagen (cat # 74104) was used to purify the RNA and a nanoDrop was used to measure concentration. Samples were shipped for on dried ice for transcriptome sequencing to BGI	BGI protocol	9606	Paired-end reads were aligned to human primary genome hg38, with star_2.5.3a 1, annotated with GENECODE GRCh38.p12 annotation release 292.	Aligned exon fragments with mapping quality higher than 20 were counted toward gene expression with featureCounts_1.5.2 3	Expression normalization was performed using the TPM (Transcripts Per Kilobase Million) method.	Genome_build: hg38	Supplementary_files_format_and_content: xlsx, normalized expression values	GPL28038	Eduardo,M,Torres	Eduardo.Torres@umassmed.edu	5088564353	Torres	Department of Molecular, Cell and Cancer Biology	University of Massachusetts Medical School	364 Plantation Street, LRB-523	worcester	MA	01605	USA	0	DNBSEQ-G400	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN15529959	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX8727286	NONE	Primary fibroblasts	trisomy 21
Trisomy 21-1	GSM4670824	Public on Oct 22 2020	Jul 14 2020	Dec 01 2020	SRA	1	Coriell #GM04616	Homo sapiens	cell type: Primary fibroblasts	genotype: trisomy 21	Coriell; https://www.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=GM04616	no treatment	Cells were grown for 48 hours and 2 x 10^5 cells were harvested between 50 to 70% confluency. Cells were maintained in Minimum Essential Media (MEM with NEAA; Gibco 10370088) supplemented with 15 % FBS and 2 mM L-glutamine.	total RNA	The RNAeasy Kit from Qiagen (cat # 74104) was used to purify the RNA and a nanoDrop was used to measure concentration. Samples were shipped for on dried ice for transcriptome sequencing to BGI	BGI protocol	9606	Paired-end reads were aligned to human primary genome hg38, with star_2.5.3a 1, annotated with GENECODE GRCh38.p12 annotation release 292.	Aligned exon fragments with mapping quality higher than 20 were counted toward gene expression with featureCounts_1.5.2 3	Expression normalization was performed using the TPM (Transcripts Per Kilobase Million) method.	Genome_build: hg38	Supplementary_files_format_and_content: xlsx, normalized expression values	GPL28038	Eduardo,M,Torres	Eduardo.Torres@umassmed.edu	5088564353	Torres	Department of Molecular, Cell and Cancer Biology	University of Massachusetts Medical School	364 Plantation Street, LRB-523	worcester	MA	01605	USA	0	DNBSEQ-G400	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN15529958	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX8727287	NONE	Primary fibroblasts	trisomy 21
Trisomy 21-3	GSM4670825	Public on Oct 22 2020	Jul 14 2020	Dec 01 2020	SRA	1	Coriell #GM04592	Homo sapiens	cell type: Primary fibroblasts	genotype: trisomy 21	Coriell; https://www.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=GM04592	no treatment	Cells were grown for 48 hours and 2 x 10^5 cells were harvested between 50 to 70% confluency. Cells were maintained in Minimum Essential Media (MEM with NEAA; Gibco 10370088) supplemented with 15 % FBS and 2 mM L-glutamine.	total RNA	The RNAeasy Kit from Qiagen (cat # 74104) was used to purify the RNA and a nanoDrop was used to measure concentration. Samples were shipped for on dried ice for transcriptome sequencing to BGI	BGI protocol	9606	Paired-end reads were aligned to human primary genome hg38, with star_2.5.3a 1, annotated with GENECODE GRCh38.p12 annotation release 292.	Aligned exon fragments with mapping quality higher than 20 were counted toward gene expression with featureCounts_1.5.2 3	Expression normalization was performed using the TPM (Transcripts Per Kilobase Million) method.	Genome_build: hg38	Supplementary_files_format_and_content: xlsx, normalized expression values	GPL28038	Eduardo,M,Torres	Eduardo.Torres@umassmed.edu	5088564353	Torres	Department of Molecular, Cell and Cancer Biology	University of Massachusetts Medical School	364 Plantation Street, LRB-523	worcester	MA	01605	USA	0	DNBSEQ-G400	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN15529957	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX8727288	NONE	Primary fibroblasts	trisomy 21
Trisomy 21-4	GSM4670826	Public on Oct 22 2020	Jul 14 2020	Dec 01 2020	SRA	1	Coriell #AG05397	Homo sapiens	cell type: Primary fibroblasts	genotype: trisomy 21	Coriell; https://www.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=AG05397	no treatment	Cells were grown for 48 hours and 2 x 10^5 cells were harvested between 50 to 70% confluency. Cells were maintained in Minimum Essential Media (MEM with NEAA; Gibco 10370088) supplemented with 15 % FBS and 2 mM L-glutamine.	total RNA	The RNAeasy Kit from Qiagen (cat # 74104) was used to purify the RNA and a nanoDrop was used to measure concentration. Samples were shipped for on dried ice for transcriptome sequencing to BGI	BGI protocol	9606	Paired-end reads were aligned to human primary genome hg38, with star_2.5.3a 1, annotated with GENECODE GRCh38.p12 annotation release 292.	Aligned exon fragments with mapping quality higher than 20 were counted toward gene expression with featureCounts_1.5.2 3	Expression normalization was performed using the TPM (Transcripts Per Kilobase Million) method.	Genome_build: hg38	Supplementary_files_format_and_content: xlsx, normalized expression values	GPL28038	Eduardo,M,Torres	Eduardo.Torres@umassmed.edu	5088564353	Torres	Department of Molecular, Cell and Cancer Biology	University of Massachusetts Medical School	364 Plantation Street, LRB-523	worcester	MA	01605	USA	0	DNBSEQ-G400	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN15529955	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX8727289	NONE	Primary fibroblasts	trisomy 21
Trisomy 21-5	GSM4670827	Public on Oct 22 2020	Jul 14 2020	Dec 01 2020	SRA	1	Coriell #AG06922	Homo sapiens	cell type: Primary fibroblasts	genotype: trisomy 21	Coriell; https://www.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=AG06922	no treatment	Cells were grown for 48 hours and 2 x 10^5 cells were harvested between 50 to 70% confluency. Cells were maintained in Minimum Essential Media (MEM with NEAA; Gibco 10370088) supplemented with 15 % FBS and 2 mM L-glutamine.	total RNA	The RNAeasy Kit from Qiagen (cat # 74104) was used to purify the RNA and a nanoDrop was used to measure concentration. Samples were shipped for on dried ice for transcriptome sequencing to BGI	BGI protocol	9606	Paired-end reads were aligned to human primary genome hg38, with star_2.5.3a 1, annotated with GENECODE GRCh38.p12 annotation release 292.	Aligned exon fragments with mapping quality higher than 20 were counted toward gene expression with featureCounts_1.5.2 3	Expression normalization was performed using the TPM (Transcripts Per Kilobase Million) method.	Genome_build: hg38	Supplementary_files_format_and_content: xlsx, normalized expression values	GPL28038	Eduardo,M,Torres	Eduardo.Torres@umassmed.edu	5088564353	Torres	Department of Molecular, Cell and Cancer Biology	University of Massachusetts Medical School	364 Plantation Street, LRB-523	worcester	MA	01605	USA	0	DNBSEQ-G400	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN15529954	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX8727290	NONE	Primary fibroblasts	trisomy 21
Trisomy 21-6	GSM4670828	Public on Oct 22 2020	Jul 14 2020	Dec 01 2020	SRA	1	Coriell #GM02767	Homo sapiens	cell type: Primary fibroblasts	genotype: trisomy 21	Coriell; https://www.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=GM02767	no treatment	Cells were grown for 48 hours and 2 x 10^5 cells were harvested between 50 to 70% confluency. Cells were maintained in Minimum Essential Media (MEM with NEAA; Gibco 10370088) supplemented with 15 % FBS and 2 mM L-glutamine.	total RNA	The RNAeasy Kit from Qiagen (cat # 74104) was used to purify the RNA and a nanoDrop was used to measure concentration. Samples were shipped for on dried ice for transcriptome sequencing to BGI	BGI protocol	9606	Paired-end reads were aligned to human primary genome hg38, with star_2.5.3a 1, annotated with GENECODE GRCh38.p12 annotation release 292.	Aligned exon fragments with mapping quality higher than 20 were counted toward gene expression with featureCounts_1.5.2 3	Expression normalization was performed using the TPM (Transcripts Per Kilobase Million) method.	Genome_build: hg38	Supplementary_files_format_and_content: xlsx, normalized expression values	GPL28038	Eduardo,M,Torres	Eduardo.Torres@umassmed.edu	5088564353	Torres	Department of Molecular, Cell and Cancer Biology	University of Massachusetts Medical School	364 Plantation Street, LRB-523	worcester	MA	01605	USA	0	DNBSEQ-G400	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN15529952	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX8727291	NONE	Primary fibroblasts	trisomy 21
Trisomy 21-7	GSM4670829	Public on Oct 22 2020	Jul 14 2020	Dec 01 2020	SRA	1	Coriell #AG08941	Homo sapiens	cell type: Primary fibroblasts	genotype: trisomy 21	Coriell; https://www.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=AG08941	no treatment	Cells were grown for 48 hours and 2 x 10^5 cells were harvested between 50 to 70% confluency. Cells were maintained in Minimum Essential Media (MEM with NEAA; Gibco 10370088) supplemented with 15 % FBS and 2 mM L-glutamine.	total RNA	The RNAeasy Kit from Qiagen (cat # 74104) was used to purify the RNA and a nanoDrop was used to measure concentration. Samples were shipped for on dried ice for transcriptome sequencing to BGI	BGI protocol	9606	Paired-end reads were aligned to human primary genome hg38, with star_2.5.3a 1, annotated with GENECODE GRCh38.p12 annotation release 292.	Aligned exon fragments with mapping quality higher than 20 were counted toward gene expression with featureCounts_1.5.2 3	Expression normalization was performed using the TPM (Transcripts Per Kilobase Million) method.	Genome_build: hg38	Supplementary_files_format_and_content: xlsx, normalized expression values	GPL28038	Eduardo,M,Torres	Eduardo.Torres@umassmed.edu	5088564353	Torres	Department of Molecular, Cell and Cancer Biology	University of Massachusetts Medical School	364 Plantation Street, LRB-523	worcester	MA	01605	USA	0	DNBSEQ-G400	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN15529951	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX8727292	NONE	Primary fibroblasts	trisomy 21
