title	geo_accession	status	submission_date	last_update_date	type	channel_count	source_name_ch1	organism_ch1	characteristics_ch1	characteristics_ch1.1	characteristics_ch1.2	molecule_ch1	extract_protocol_ch1	extract_protocol_ch1.1	taxid_ch1	description	data_processing	data_processing.1	data_processing.2	data_processing.3	data_processing.4	platform_id	contact_name	contact_email	contact_institute	contact_address	contact_city	contact_zip/postal_code	contact_country	data_row_count	instrument_model	library_selection	library_source	library_strategy	relation	relation.1	supplementary_file_1	cell type:ch1	condition:ch1	sorting:ch1
Healthy Donor - Epcam- (rep. 1)	GSM5090903	Public on Dec 24 2021	Feb 18 2021	Dec 24 2021	SRA	1	Human thymic epithelial cell	Homo sapiens	cell type: Human thymic epithelial cell	condition: Healthy Donor	sorting: Epcam-negative	polyA RNA	RNA was extracted from Epcam-enriched hTEC subsets by using ReliaPrepTM RNA MiniPrep System (Promega) according to manufacturer’s recommendations	Full-length RNA-seq libraries were prepared using the SMART-Seq2 protocol	9606	858_1	Basecalling using blc2fastq and trimming using cutadapt	Alignment using HISAT2 and gene abundance estimation using featurecounts	Differential gene expression computed using edgeR	Genome_build: GRCh38	Supplementary_files_format_and_content: Tab-separated count file	GPL18573	Stefano,,Beretta	beretta.stefano1@hsr.it	San Raffaele Telethon Institute for Gene Therapy	Via Olgettina, 60	Milan	20132	Italy	0	Illumina NextSeq 500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN17977683	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX10124327	NONE	Human thymic epithelial cell	Healthy Donor	Epcam-negative
Healthy Donor - Epcam+ (rep. 1)	GSM5090904	Public on Dec 24 2021	Feb 18 2021	Dec 24 2021	SRA	1	Human thymic epithelial cell	Homo sapiens	cell type: Human thymic epithelial cell	condition: Healthy Donor	sorting: Epcam-positive	polyA RNA	RNA was extracted from Epcam-enriched hTEC subsets by using ReliaPrepTM RNA MiniPrep System (Promega) according to manufacturer’s recommendations	Full-length RNA-seq libraries were prepared using the SMART-Seq2 protocol	9606	858_2	Basecalling using blc2fastq and trimming using cutadapt	Alignment using HISAT2 and gene abundance estimation using featurecounts	Differential gene expression computed using edgeR	Genome_build: GRCh38	Supplementary_files_format_and_content: Tab-separated count file	GPL18573	Stefano,,Beretta	beretta.stefano1@hsr.it	San Raffaele Telethon Institute for Gene Therapy	Via Olgettina, 60	Milan	20132	Italy	0	Illumina NextSeq 500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN17977682	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX10124328	NONE	Human thymic epithelial cell	Healthy Donor	Epcam-positive
Healthy Donor - Epcam- (rep. 2)	GSM5090905	Public on Dec 24 2021	Feb 18 2021	Dec 24 2021	SRA	1	Human thymic epithelial cell	Homo sapiens	cell type: Human thymic epithelial cell	condition: Healthy Donor	sorting: Epcam-negative	polyA RNA	RNA was extracted from Epcam-enriched hTEC subsets by using ReliaPrepTM RNA MiniPrep System (Promega) according to manufacturer’s recommendations	Full-length RNA-seq libraries were prepared using the SMART-Seq2 protocol	9606	858_3	Basecalling using blc2fastq and trimming using cutadapt	Alignment using HISAT2 and gene abundance estimation using featurecounts	Differential gene expression computed using edgeR	Genome_build: GRCh38	Supplementary_files_format_and_content: Tab-separated count file	GPL18573	Stefano,,Beretta	beretta.stefano1@hsr.it	San Raffaele Telethon Institute for Gene Therapy	Via Olgettina, 60	Milan	20132	Italy	0	Illumina NextSeq 500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN17977681	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX10124329	NONE	Human thymic epithelial cell	Healthy Donor	Epcam-negative
Healthy Donor - Epcam+ (rep. 2)	GSM5090906	Public on Dec 24 2021	Feb 18 2021	Dec 24 2021	SRA	1	Human thymic epithelial cell	Homo sapiens	cell type: Human thymic epithelial cell	condition: Healthy Donor	sorting: Epcam-positive	polyA RNA	RNA was extracted from Epcam-enriched hTEC subsets by using ReliaPrepTM RNA MiniPrep System (Promega) according to manufacturer’s recommendations	Full-length RNA-seq libraries were prepared using the SMART-Seq2 protocol	9606	858_4	Basecalling using blc2fastq and trimming using cutadapt	Alignment using HISAT2 and gene abundance estimation using featurecounts	Differential gene expression computed using edgeR	Genome_build: GRCh38	Supplementary_files_format_and_content: Tab-separated count file	GPL18573	Stefano,,Beretta	beretta.stefano1@hsr.it	San Raffaele Telethon Institute for Gene Therapy	Via Olgettina, 60	Milan	20132	Italy	0	Illumina NextSeq 500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN17977680	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX10124330	NONE	Human thymic epithelial cell	Healthy Donor	Epcam-positive
Healthy Donor - Epcam- (rep. 3)	GSM5090907	Public on Dec 24 2021	Feb 18 2021	Dec 24 2021	SRA	1	Human thymic epithelial cell	Homo sapiens	cell type: Human thymic epithelial cell	condition: Healthy Donor	sorting: Epcam-negative	polyA RNA	RNA was extracted from Epcam-enriched hTEC subsets by using ReliaPrepTM RNA MiniPrep System (Promega) according to manufacturer’s recommendations	Full-length RNA-seq libraries were prepared using the SMART-Seq2 protocol	9606	858_5	Basecalling using blc2fastq and trimming using cutadapt	Alignment using HISAT2 and gene abundance estimation using featurecounts	Differential gene expression computed using edgeR	Genome_build: GRCh38	Supplementary_files_format_and_content: Tab-separated count file	GPL18573	Stefano,,Beretta	beretta.stefano1@hsr.it	San Raffaele Telethon Institute for Gene Therapy	Via Olgettina, 60	Milan	20132	Italy	0	Illumina NextSeq 500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN17977679	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX10124331	NONE	Human thymic epithelial cell	Healthy Donor	Epcam-negative
Healthy Donor - Epcam+ (rep. 3)	GSM5090908	Public on Dec 24 2021	Feb 18 2021	Dec 24 2021	SRA	1	Human thymic epithelial cell	Homo sapiens	cell type: Human thymic epithelial cell	condition: Healthy Donor	sorting: Epcam-positive	polyA RNA	RNA was extracted from Epcam-enriched hTEC subsets by using ReliaPrepTM RNA MiniPrep System (Promega) according to manufacturer’s recommendations	Full-length RNA-seq libraries were prepared using the SMART-Seq2 protocol	9606	858_6	Basecalling using blc2fastq and trimming using cutadapt	Alignment using HISAT2 and gene abundance estimation using featurecounts	Differential gene expression computed using edgeR	Genome_build: GRCh38	Supplementary_files_format_and_content: Tab-separated count file	GPL18573	Stefano,,Beretta	beretta.stefano1@hsr.it	San Raffaele Telethon Institute for Gene Therapy	Via Olgettina, 60	Milan	20132	Italy	0	Illumina NextSeq 500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN17977678	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX10124332	NONE	Human thymic epithelial cell	Healthy Donor	Epcam-positive
Down Syndrome - Epcam- (rep. 1)	GSM5090909	Public on Dec 24 2021	Feb 18 2021	Dec 24 2021	SRA	1	Human thymic epithelial cell	Homo sapiens	cell type: Human thymic epithelial cell	condition: Down Syndrome	sorting: Epcam-negative	polyA RNA	RNA was extracted from Epcam-enriched hTEC subsets by using ReliaPrepTM RNA MiniPrep System (Promega) according to manufacturer’s recommendations	Full-length RNA-seq libraries were prepared using the SMART-Seq2 protocol	9606	858_7	Basecalling using blc2fastq and trimming using cutadapt	Alignment using HISAT2 and gene abundance estimation using featurecounts	Differential gene expression computed using edgeR	Genome_build: GRCh38	Supplementary_files_format_and_content: Tab-separated count file	GPL18573	Stefano,,Beretta	beretta.stefano1@hsr.it	San Raffaele Telethon Institute for Gene Therapy	Via Olgettina, 60	Milan	20132	Italy	0	Illumina NextSeq 500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN17977677	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX10124333	NONE	Human thymic epithelial cell	Down Syndrome	Epcam-negative
Down Syndrome - Epcam+ (rep. 1)	GSM5090910	Public on Dec 24 2021	Feb 18 2021	Dec 24 2021	SRA	1	Human thymic epithelial cell	Homo sapiens	cell type: Human thymic epithelial cell	condition: Down Syndrome	sorting: Epcam-positive	polyA RNA	RNA was extracted from Epcam-enriched hTEC subsets by using ReliaPrepTM RNA MiniPrep System (Promega) according to manufacturer’s recommendations	Full-length RNA-seq libraries were prepared using the SMART-Seq2 protocol	9606	858_8	Basecalling using blc2fastq and trimming using cutadapt	Alignment using HISAT2 and gene abundance estimation using featurecounts	Differential gene expression computed using edgeR	Genome_build: GRCh38	Supplementary_files_format_and_content: Tab-separated count file	GPL18573	Stefano,,Beretta	beretta.stefano1@hsr.it	San Raffaele Telethon Institute for Gene Therapy	Via Olgettina, 60	Milan	20132	Italy	0	Illumina NextSeq 500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN17977676	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX10124334	NONE	Human thymic epithelial cell	Down Syndrome	Epcam-positive
Down Syndrome - Epcam- (rep. 2)	GSM5090911	Public on Dec 24 2021	Feb 18 2021	Dec 24 2021	SRA	1	Human thymic epithelial cell	Homo sapiens	cell type: Human thymic epithelial cell	condition: Down Syndrome	sorting: Epcam-negative	polyA RNA	RNA was extracted from Epcam-enriched hTEC subsets by using ReliaPrepTM RNA MiniPrep System (Promega) according to manufacturer’s recommendations	Full-length RNA-seq libraries were prepared using the SMART-Seq2 protocol	9606	858_9	Basecalling using blc2fastq and trimming using cutadapt	Alignment using HISAT2 and gene abundance estimation using featurecounts	Differential gene expression computed using edgeR	Genome_build: GRCh38	Supplementary_files_format_and_content: Tab-separated count file	GPL18573	Stefano,,Beretta	beretta.stefano1@hsr.it	San Raffaele Telethon Institute for Gene Therapy	Via Olgettina, 60	Milan	20132	Italy	0	Illumina NextSeq 500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN17977675	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX10124335	NONE	Human thymic epithelial cell	Down Syndrome	Epcam-negative
Down Syndrome - Epcam+ (rep. 2)	GSM5090912	Public on Dec 24 2021	Feb 18 2021	Dec 24 2021	SRA	1	Human thymic epithelial cell	Homo sapiens	cell type: Human thymic epithelial cell	condition: Down Syndrome	sorting: Epcam-positive	polyA RNA	RNA was extracted from Epcam-enriched hTEC subsets by using ReliaPrepTM RNA MiniPrep System (Promega) according to manufacturer’s recommendations	Full-length RNA-seq libraries were prepared using the SMART-Seq2 protocol	9606	858_10	Basecalling using blc2fastq and trimming using cutadapt	Alignment using HISAT2 and gene abundance estimation using featurecounts	Differential gene expression computed using edgeR	Genome_build: GRCh38	Supplementary_files_format_and_content: Tab-separated count file	GPL18573	Stefano,,Beretta	beretta.stefano1@hsr.it	San Raffaele Telethon Institute for Gene Therapy	Via Olgettina, 60	Milan	20132	Italy	0	Illumina NextSeq 500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN17977674	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX10124336	NONE	Human thymic epithelial cell	Down Syndrome	Epcam-positive
