title	geo_accession	type	source_name_ch1	organism_ch1	molecule_ch1	cell type:ch1	differentiation length:ch1	passages:ch1	ploidy:ch1
C2A	GSM2719212	SRA	trisomic_IPSC	Homo sapiens	polyA RNA	human induced pluripotent stem cells (iPSCs)	NA	3	trisomic
C2B	GSM2719213	SRA	trisomic_IPSC	Homo sapiens	polyA RNA	human induced pluripotent stem cells (iPSCs)	NA	5	trisomic
C2C	GSM2719214	SRA	trisomic_IPSC	Homo sapiens	polyA RNA	human induced pluripotent stem cells (iPSCs)	NA	12	trisomic
C244-A	GSM2719215	SRA	disomic_IPSC	Homo sapiens	polyA RNA	human induced pluripotent stem cells (iPSCs)	NA	3	disomic
C244-B	GSM2719216	SRA	disomic_IPSC	Homo sapiens	polyA RNA	human induced pluripotent stem cells (iPSCs)	NA	5	disomic
C243	GSM2719217	SRA	disomic_IPSC	Homo sapiens	polyA RNA	human induced pluripotent stem cells (iPSCs)	NA	10	disomic
C2-1	GSM2719218	SRA	trisomic_IPSC Derived Neurons	Homo sapiens	polyA RNA	IPSC-derived Neurons	40 days	NA	trisomic
C2-2	GSM2719219	SRA	trisomic_IPSC Derived Neurons	Homo sapiens	polyA RNA	IPSC-derived Neurons	40 days	NA	trisomic
C2-3	GSM2719220	SRA	trisomic_IPSC Derived Neurons	Homo sapiens	polyA RNA	IPSC-derived Neurons	40 days	NA	trisomic
C3-1	GSM2719221	SRA	disomic_IPSC Derived Neurons	Homo sapiens	polyA RNA	IPSC-derived Neurons	40 days	NA	disomic
C3-2	GSM2719222	SRA	disomic_IPSC Derived Neurons	Homo sapiens	polyA RNA	IPSC-derived Neurons	40 days	NA	disomic
C3-4	GSM2719223	SRA	disomic_IPSC Derived Neurons	Homo sapiens	polyA RNA	IPSC-derived Neurons	40 days	NA	disomic
