title	geo_accession	status	submission_date	last_update_date	type	channel_count	source_name_ch1	organism_ch1	characteristics_ch1	characteristics_ch1.1	characteristics_ch1.2	growth_protocol_ch1	molecule_ch1	extract_protocol_ch1	extract_protocol_ch1.1	taxid_ch1	description	description.1	description.2	data_processing	data_processing.1	data_processing.2	data_processing.3	data_processing.4	data_processing.5	platform_id	contact_name	contact_email	contact_institute	contact_address	contact_city	contact_zip/postal_code	contact_country	data_row_count	instrument_model	library_selection	library_source	library_strategy	relation	relation.1	supplementary_file_1	cell source:ch1	cell type:ch1	disease state:ch1
Neuroepithelial stem cells - RD_P26 (P10052_108)	GSM5712645	Public on Jan 09 2022	Dec 02 2021	Jan 10 2022	SRA	1	Neuroepithelial stem cells	Homo sapiens	cell type: Neuroepithelial stem cells	cell source: iPSC-derived	disease state: Ring chromosome 21	The iPSC colonies were neurally induced to capture neuroepithelial stem cells (NESCs) (Falk et al., 2012). Briefly, neural induction was achieved by culturing the iPSCs in 0.5 ng/mL hNoggin and 3.3 µM CHIR99021 until day 10. The medium was supplemented with 10 µM SB431542 until day 4. The cells were replated at 40,000 cells/cm2 onto 0.1 mg poly-l-ornithine 1 μg/ml laminin L2020–coated plates in medium containing Dulbecco modified eagle medium/F-12 GlutaMAX, 1% N2, 0.1% B27, 10 ng/mL FGF2, 10 ng/mL EGF, and 1% Pen/Strep.	polyA RNA	Illumina TrueSeq Stranded mRNA kit	Nova-Seq 6000 platform	9606	Sample 1	P10052_108	DESeq2_output_RD_P26_comparedToAllCTRL.xlsx	Transcript abundance: Salmon V1.1.0	Gene expression changes: DeSeq2 package in R (Love et al., 2014)	Tx2Gene list: GRCh38.p13/hg38, release 36	Gene annotations: BioMart - Ensembl for gene annotation	Genome_build: GRCh38.p13/hg38	Supplementary_files_format_and_content: Excel files contain the DeSeq2 output for Samples 1-3 compared to the merged control lines (e.g. Sample1 compared to Sample4-6) including gene annotation and statistics	GPL24676	Jakob,,Schuy	jakob.schuy@ki.se	Karolinska Institutet	Akademiska stråket 1	Stockholm	171 64	Sweden	0	Illumina NovaSeq 6000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN23572517	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX13289153	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5712nnn/GSM5712645/suppl/GSM5712645_P10052_108_quant.sf.gz	iPSC-derived	Neuroepithelial stem cells	Ring chromosome 21
Neuroepithelial stem cells - RD_P26 (P10052_121)	GSM5712646	Public on Jan 09 2022	Dec 02 2021	Jan 10 2022	SRA	1	Neuroepithelial stem cells	Homo sapiens	cell type: Neuroepithelial stem cells	cell source: iPSC-derived	disease state: Ring chromosome 21	The iPSC colonies were neurally induced to capture neuroepithelial stem cells (NESCs) (Falk et al., 2012). Briefly, neural induction was achieved by culturing the iPSCs in 0.5 ng/mL hNoggin and 3.3 µM CHIR99021 until day 10. The medium was supplemented with 10 µM SB431542 until day 4. The cells were replated at 40,000 cells/cm2 onto 0.1 mg poly-l-ornithine 1 μg/ml laminin L2020–coated plates in medium containing Dulbecco modified eagle medium/F-12 GlutaMAX, 1% N2, 0.1% B27, 10 ng/mL FGF2, 10 ng/mL EGF, and 1% Pen/Strep.	polyA RNA	Illumina TrueSeq Stranded mRNA kit	Nova-Seq 6000 platform	9606	Sample 1	P10052_121	DESeq2_output_RD_P26_comparedToAllCTRL.xlsx	Transcript abundance: Salmon V1.1.0	Gene expression changes: DeSeq2 package in R (Love et al., 2014)	Tx2Gene list: GRCh38.p13/hg38, release 36	Gene annotations: BioMart - Ensembl for gene annotation	Genome_build: GRCh38.p13/hg38	Supplementary_files_format_and_content: Excel files contain the DeSeq2 output for Samples 1-3 compared to the merged control lines (e.g. Sample1 compared to Sample4-6) including gene annotation and statistics	GPL24676	Jakob,,Schuy	jakob.schuy@ki.se	Karolinska Institutet	Akademiska stråket 1	Stockholm	171 64	Sweden	0	Illumina NovaSeq 6000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN23572518	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX13289154	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5712nnn/GSM5712646/suppl/GSM5712646_P10052_121_quant.sf.gz	iPSC-derived	Neuroepithelial stem cells	Ring chromosome 21
Neuroepithelial stem cells - RD_P26 (P10052_134)	GSM5712647	Public on Jan 09 2022	Dec 02 2021	Jan 10 2022	SRA	1	Neuroepithelial stem cells	Homo sapiens	cell type: Neuroepithelial stem cells	cell source: iPSC-derived	disease state: Ring chromosome 21	The iPSC colonies were neurally induced to capture neuroepithelial stem cells (NESCs) (Falk et al., 2012). Briefly, neural induction was achieved by culturing the iPSCs in 0.5 ng/mL hNoggin and 3.3 µM CHIR99021 until day 10. The medium was supplemented with 10 µM SB431542 until day 4. The cells were replated at 40,000 cells/cm2 onto 0.1 mg poly-l-ornithine 1 μg/ml laminin L2020–coated plates in medium containing Dulbecco modified eagle medium/F-12 GlutaMAX, 1% N2, 0.1% B27, 10 ng/mL FGF2, 10 ng/mL EGF, and 1% Pen/Strep.	polyA RNA	Illumina TrueSeq Stranded mRNA kit	Nova-Seq 6000 platform	9606	Sample 1	P10052_134	DESeq2_output_RD_P26_comparedToAllCTRL.xlsx	Transcript abundance: Salmon V1.1.0	Gene expression changes: DeSeq2 package in R (Love et al., 2014)	Tx2Gene list: GRCh38.p13/hg38, release 36	Gene annotations: BioMart - Ensembl for gene annotation	Genome_build: GRCh38.p13/hg38	Supplementary_files_format_and_content: Excel files contain the DeSeq2 output for Samples 1-3 compared to the merged control lines (e.g. Sample1 compared to Sample4-6) including gene annotation and statistics	GPL24676	Jakob,,Schuy	jakob.schuy@ki.se	Karolinska Institutet	Akademiska stråket 1	Stockholm	171 64	Sweden	0	Illumina NovaSeq 6000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN23572519	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX13289155	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5712nnn/GSM5712647/suppl/GSM5712647_P10052_134_quant.sf.gz	iPSC-derived	Neuroepithelial stem cells	Ring chromosome 21
Neuroepithelial stem cells - DSB2 (P10052_109)	GSM5712648	Public on Jan 09 2022	Dec 02 2021	Jan 10 2022	SRA	1	Neuroepithelial stem cells	Homo sapiens	cell type: Neuroepithelial stem cells	cell source: iPSC-derived	disease state: Trisomy 21	The iPSC colonies were neurally induced to capture neuroepithelial stem cells (NESCs) (Falk et al., 2012). Briefly, neural induction was achieved by culturing the iPSCs in 0.5 ng/mL hNoggin and 3.3 µM CHIR99021 until day 10. The medium was supplemented with 10 µM SB431542 until day 4. The cells were replated at 40,000 cells/cm2 onto 0.1 mg poly-l-ornithine 1 μg/ml laminin L2020–coated plates in medium containing Dulbecco modified eagle medium/F-12 GlutaMAX, 1% N2, 0.1% B27, 10 ng/mL FGF2, 10 ng/mL EGF, and 1% Pen/Strep.	polyA RNA	Illumina TrueSeq Stranded mRNA kit	Nova-Seq 6000 platform	9606	Sample 2	P10052_109	DESeq2_output_DSB2_comparedToAllCTRL.xlsx	Transcript abundance: Salmon V1.1.0	Gene expression changes: DeSeq2 package in R (Love et al., 2014)	Tx2Gene list: GRCh38.p13/hg38, release 36	Gene annotations: BioMart - Ensembl for gene annotation	Genome_build: GRCh38.p13/hg38	Supplementary_files_format_and_content: Excel files contain the DeSeq2 output for Samples 1-3 compared to the merged control lines (e.g. Sample1 compared to Sample4-6) including gene annotation and statistics	GPL24676	Jakob,,Schuy	jakob.schuy@ki.se	Karolinska Institutet	Akademiska stråket 1	Stockholm	171 64	Sweden	0	Illumina NovaSeq 6000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN23572520	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX13289156	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5712nnn/GSM5712648/suppl/GSM5712648_P10052_109_quant.sf.gz	iPSC-derived	Neuroepithelial stem cells	Trisomy 21
Neuroepithelial stem cells - DSB2 (P10052_122)	GSM5712649	Public on Jan 09 2022	Dec 02 2021	Jan 10 2022	SRA	1	Neuroepithelial stem cells	Homo sapiens	cell type: Neuroepithelial stem cells	cell source: iPSC-derived	disease state: Trisomy 21	The iPSC colonies were neurally induced to capture neuroepithelial stem cells (NESCs) (Falk et al., 2012). Briefly, neural induction was achieved by culturing the iPSCs in 0.5 ng/mL hNoggin and 3.3 µM CHIR99021 until day 10. The medium was supplemented with 10 µM SB431542 until day 4. The cells were replated at 40,000 cells/cm2 onto 0.1 mg poly-l-ornithine 1 μg/ml laminin L2020–coated plates in medium containing Dulbecco modified eagle medium/F-12 GlutaMAX, 1% N2, 0.1% B27, 10 ng/mL FGF2, 10 ng/mL EGF, and 1% Pen/Strep.	polyA RNA	Illumina TrueSeq Stranded mRNA kit	Nova-Seq 6000 platform	9606	Sample 2	P10052_122	DESeq2_output_DSB2_comparedToAllCTRL.xlsx	Transcript abundance: Salmon V1.1.0	Gene expression changes: DeSeq2 package in R (Love et al., 2014)	Tx2Gene list: GRCh38.p13/hg38, release 36	Gene annotations: BioMart - Ensembl for gene annotation	Genome_build: GRCh38.p13/hg38	Supplementary_files_format_and_content: Excel files contain the DeSeq2 output for Samples 1-3 compared to the merged control lines (e.g. Sample1 compared to Sample4-6) including gene annotation and statistics	GPL24676	Jakob,,Schuy	jakob.schuy@ki.se	Karolinska Institutet	Akademiska stråket 1	Stockholm	171 64	Sweden	0	Illumina NovaSeq 6000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN23572521	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX13289157	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5712nnn/GSM5712649/suppl/GSM5712649_P10052_122_quant.sf.gz	iPSC-derived	Neuroepithelial stem cells	Trisomy 21
Neuroepithelial stem cells - DSB2 (P10052_135)	GSM5712650	Public on Jan 09 2022	Dec 02 2021	Jan 10 2022	SRA	1	Neuroepithelial stem cells	Homo sapiens	cell type: Neuroepithelial stem cells	cell source: iPSC-derived	disease state: Trisomy 21	The iPSC colonies were neurally induced to capture neuroepithelial stem cells (NESCs) (Falk et al., 2012). Briefly, neural induction was achieved by culturing the iPSCs in 0.5 ng/mL hNoggin and 3.3 µM CHIR99021 until day 10. The medium was supplemented with 10 µM SB431542 until day 4. The cells were replated at 40,000 cells/cm2 onto 0.1 mg poly-l-ornithine 1 μg/ml laminin L2020–coated plates in medium containing Dulbecco modified eagle medium/F-12 GlutaMAX, 1% N2, 0.1% B27, 10 ng/mL FGF2, 10 ng/mL EGF, and 1% Pen/Strep.	polyA RNA	Illumina TrueSeq Stranded mRNA kit	Nova-Seq 6000 platform	9606	Sample 2	P10052_135	DESeq2_output_DSB2_comparedToAllCTRL.xlsx	Transcript abundance: Salmon V1.1.0	Gene expression changes: DeSeq2 package in R (Love et al., 2014)	Tx2Gene list: GRCh38.p13/hg38, release 36	Gene annotations: BioMart - Ensembl for gene annotation	Genome_build: GRCh38.p13/hg38	Supplementary_files_format_and_content: Excel files contain the DeSeq2 output for Samples 1-3 compared to the merged control lines (e.g. Sample1 compared to Sample4-6) including gene annotation and statistics	GPL24676	Jakob,,Schuy	jakob.schuy@ki.se	Karolinska Institutet	Akademiska stråket 1	Stockholm	171 64	Sweden	0	Illumina NovaSeq 6000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN23572522	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX13289158	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5712nnn/GSM5712650/suppl/GSM5712650_P10052_135_quant.sf.gz	iPSC-derived	Neuroepithelial stem cells	Trisomy 21
Neuroepithelial stem cells - DSB3 (P10052_110)	GSM5712651	Public on Jan 09 2022	Dec 02 2021	Jan 10 2022	SRA	1	Neuroepithelial stem cells	Homo sapiens	cell type: Neuroepithelial stem cells	cell source: iPSC-derived	disease state: Trisomy 21	The iPSC colonies were neurally induced to capture neuroepithelial stem cells (NESCs) (Falk et al., 2012). Briefly, neural induction was achieved by culturing the iPSCs in 0.5 ng/mL hNoggin and 3.3 µM CHIR99021 until day 10. The medium was supplemented with 10 µM SB431542 until day 4. The cells were replated at 40,000 cells/cm2 onto 0.1 mg poly-l-ornithine 1 μg/ml laminin L2020–coated plates in medium containing Dulbecco modified eagle medium/F-12 GlutaMAX, 1% N2, 0.1% B27, 10 ng/mL FGF2, 10 ng/mL EGF, and 1% Pen/Strep.	polyA RNA	Illumina TrueSeq Stranded mRNA kit	Nova-Seq 6000 platform	9606	Sample 3	P10052_110	DESeq2_output_DSB3_comparedToAllCTRL.xlsx	Transcript abundance: Salmon V1.1.0	Gene expression changes: DeSeq2 package in R (Love et al., 2014)	Tx2Gene list: GRCh38.p13/hg38, release 36	Gene annotations: BioMart - Ensembl for gene annotation	Genome_build: GRCh38.p13/hg38	Supplementary_files_format_and_content: Excel files contain the DeSeq2 output for Samples 1-3 compared to the merged control lines (e.g. Sample1 compared to Sample4-6) including gene annotation and statistics	GPL24676	Jakob,,Schuy	jakob.schuy@ki.se	Karolinska Institutet	Akademiska stråket 1	Stockholm	171 64	Sweden	0	Illumina NovaSeq 6000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN23572523	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX13289159	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5712nnn/GSM5712651/suppl/GSM5712651_P10052_110_quant.sf.gz	iPSC-derived	Neuroepithelial stem cells	Trisomy 21
Neuroepithelial stem cells - DSB3 (P10052_123)	GSM5712652	Public on Jan 09 2022	Dec 02 2021	Jan 10 2022	SRA	1	Neuroepithelial stem cells	Homo sapiens	cell type: Neuroepithelial stem cells	cell source: iPSC-derived	disease state: Trisomy 21	The iPSC colonies were neurally induced to capture neuroepithelial stem cells (NESCs) (Falk et al., 2012). Briefly, neural induction was achieved by culturing the iPSCs in 0.5 ng/mL hNoggin and 3.3 µM CHIR99021 until day 10. The medium was supplemented with 10 µM SB431542 until day 4. The cells were replated at 40,000 cells/cm2 onto 0.1 mg poly-l-ornithine 1 μg/ml laminin L2020–coated plates in medium containing Dulbecco modified eagle medium/F-12 GlutaMAX, 1% N2, 0.1% B27, 10 ng/mL FGF2, 10 ng/mL EGF, and 1% Pen/Strep.	polyA RNA	Illumina TrueSeq Stranded mRNA kit	Nova-Seq 6000 platform	9606	Sample 3	P10052_123	DESeq2_output_DSB3_comparedToAllCTRL.xlsx	Transcript abundance: Salmon V1.1.0	Gene expression changes: DeSeq2 package in R (Love et al., 2014)	Tx2Gene list: GRCh38.p13/hg38, release 36	Gene annotations: BioMart - Ensembl for gene annotation	Genome_build: GRCh38.p13/hg38	Supplementary_files_format_and_content: Excel files contain the DeSeq2 output for Samples 1-3 compared to the merged control lines (e.g. Sample1 compared to Sample4-6) including gene annotation and statistics	GPL24676	Jakob,,Schuy	jakob.schuy@ki.se	Karolinska Institutet	Akademiska stråket 1	Stockholm	171 64	Sweden	0	Illumina NovaSeq 6000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN23572524	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX13289160	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5712nnn/GSM5712652/suppl/GSM5712652_P10052_123_quant.sf.gz	iPSC-derived	Neuroepithelial stem cells	Trisomy 21
Neuroepithelial stem cells - DSB3 (P10052_136)	GSM5712653	Public on Jan 09 2022	Dec 02 2021	Jan 10 2022	SRA	1	Neuroepithelial stem cells	Homo sapiens	cell type: Neuroepithelial stem cells	cell source: iPSC-derived	disease state: Trisomy 21	The iPSC colonies were neurally induced to capture neuroepithelial stem cells (NESCs) (Falk et al., 2012). Briefly, neural induction was achieved by culturing the iPSCs in 0.5 ng/mL hNoggin and 3.3 µM CHIR99021 until day 10. The medium was supplemented with 10 µM SB431542 until day 4. The cells were replated at 40,000 cells/cm2 onto 0.1 mg poly-l-ornithine 1 μg/ml laminin L2020–coated plates in medium containing Dulbecco modified eagle medium/F-12 GlutaMAX, 1% N2, 0.1% B27, 10 ng/mL FGF2, 10 ng/mL EGF, and 1% Pen/Strep.	polyA RNA	Illumina TrueSeq Stranded mRNA kit	Nova-Seq 6000 platform	9606	Sample 3	P10052_136	DESeq2_output_DSB3_comparedToAllCTRL.xlsx	Transcript abundance: Salmon V1.1.0	Gene expression changes: DeSeq2 package in R (Love et al., 2014)	Tx2Gene list: GRCh38.p13/hg38, release 36	Gene annotations: BioMart - Ensembl for gene annotation	Genome_build: GRCh38.p13/hg38	Supplementary_files_format_and_content: Excel files contain the DeSeq2 output for Samples 1-3 compared to the merged control lines (e.g. Sample1 compared to Sample4-6) including gene annotation and statistics	GPL24676	Jakob,,Schuy	jakob.schuy@ki.se	Karolinska Institutet	Akademiska stråket 1	Stockholm	171 64	Sweden	0	Illumina NovaSeq 6000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN23572525	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX13289161	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5712nnn/GSM5712653/suppl/GSM5712653_P10052_136_quant.sf.gz	iPSC-derived	Neuroepithelial stem cells	Trisomy 21
Neuroepithelial stem cells - CTRL7 (P10052_111)	GSM5712654	Public on Jan 09 2022	Dec 02 2021	Jan 10 2022	SRA	1	Neuroepithelial stem cells	Homo sapiens	cell type: Neuroepithelial stem cells	cell source: iPSC-derived	disease state: Control cell line	The iPSC colonies were neurally induced to capture neuroepithelial stem cells (NESCs) (Falk et al., 2012). Briefly, neural induction was achieved by culturing the iPSCs in 0.5 ng/mL hNoggin and 3.3 µM CHIR99021 until day 10. The medium was supplemented with 10 µM SB431542 until day 4. The cells were replated at 40,000 cells/cm2 onto 0.1 mg poly-l-ornithine 1 μg/ml laminin L2020–coated plates in medium containing Dulbecco modified eagle medium/F-12 GlutaMAX, 1% N2, 0.1% B27, 10 ng/mL FGF2, 10 ng/mL EGF, and 1% Pen/Strep.	polyA RNA	Illumina TrueSeq Stranded mRNA kit	Nova-Seq 6000 platform	9606	Sample 4	P10052_111	This cell line served as reference	Transcript abundance: Salmon V1.1.0	Gene expression changes: DeSeq2 package in R (Love et al., 2014)	Tx2Gene list: GRCh38.p13/hg38, release 36	Gene annotations: BioMart - Ensembl for gene annotation	Genome_build: GRCh38.p13/hg38	Supplementary_files_format_and_content: Excel files contain the DeSeq2 output for Samples 1-3 compared to the merged control lines (e.g. Sample1 compared to Sample4-6) including gene annotation and statistics	GPL24676	Jakob,,Schuy	jakob.schuy@ki.se	Karolinska Institutet	Akademiska stråket 1	Stockholm	171 64	Sweden	0	Illumina NovaSeq 6000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN23572526	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX13289162	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5712nnn/GSM5712654/suppl/GSM5712654_P10052_111_quant.sf.gz	iPSC-derived	Neuroepithelial stem cells	Control cell line
