title	geo_accession	status	submission_date	last_update_date	type	channel_count	source_name_ch1	organism_ch1	characteristics_ch1	characteristics_ch1.1	characteristics_ch1.2	treatment_protocol_ch1	growth_protocol_ch1	molecule_ch1	extract_protocol_ch1	extract_protocol_ch1.1	taxid_ch1	data_processing	data_processing.1	data_processing.2	data_processing.3	platform_id	contact_name	contact_email	contact_department	contact_institute	contact_address	contact_city	contact_zip/postal_code	contact_country	data_row_count	instrument_model	library_selection	library_source	library_strategy	relation	relation.1	supplementary_file_1	time:ch1	tissue:ch1	treatment:ch1
ML-DS1, LSD1 inhibitor, rep1	GSM6050562	Public on May 27 2022	Apr 20 2022	May 27 2022	SRA	1	patient sample expanded via xenotransplantation	Homo sapiens	tissue: patient sample expanded via xenotransplantation	treatment: LSD1 inhibitor	time: 48 hours	ML-DS patient samples were treated with DMSO (vehicle control), 350nM of the LSD1 inhibitor T-3775440, 1uM ruxolitinib, or the combination of T-3775440 and ruxolitinib for 48 hours.	Patient samples were maintained in StemSpan supplemental with a cytokine cocktail (FLT3-L, SCF, IL-6, IL-3, TPO) for the duration of the treatment (48 hours).	total RNA	Total RNA was extracted using the Zymo Quick-RNA Miniprep Kit with on-column DNase treatment (R1054).	Illumina sequencing libraries were prepared by Novogene Company, Ltd. using total cellular RNA, and sequenced on an Illumina NovaSeq platform (150 bp paired-end reads).	9606	Raw reads were trimmed and filtered by Novogene Company, Ltd. using in-house scripts, then mapped to human reference genome hg38 using HISAT2.	Gene expression values (FPKM) were calculated using the featureCounts package in R.	Assembly: hg38	Supplementary files format and content: Normalized read counts (FPKM) in tab-separated format	GPL24676	Jan-Henning,,Klusmann	jan-henning.klusmann@kgu.de	Pediatric Hematology and Oncology	Goehte University Frankfurt	Theodor-Stern-Kai 7	Frankfurt	60590	Germany	0	Illumina NovaSeq 6000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN27654782	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX14927372	NONE	48 hours	patient sample expanded via xenotransplantation	LSD1 inhibitor
ML-DS1, LSD1 inhibitor, rep2	GSM6050563	Public on May 27 2022	Apr 20 2022	May 27 2022	SRA	1	patient sample expanded via xenotransplantation	Homo sapiens	tissue: patient sample expanded via xenotransplantation	treatment: LSD1 inhibitor	time: 48 hours	ML-DS patient samples were treated with DMSO (vehicle control), 350nM of the LSD1 inhibitor T-3775440, 1uM ruxolitinib, or the combination of T-3775440 and ruxolitinib for 48 hours.	Patient samples were maintained in StemSpan supplemental with a cytokine cocktail (FLT3-L, SCF, IL-6, IL-3, TPO) for the duration of the treatment (48 hours).	total RNA	Total RNA was extracted using the Zymo Quick-RNA Miniprep Kit with on-column DNase treatment (R1054).	Illumina sequencing libraries were prepared by Novogene Company, Ltd. using total cellular RNA, and sequenced on an Illumina NovaSeq platform (150 bp paired-end reads).	9606	Raw reads were trimmed and filtered by Novogene Company, Ltd. using in-house scripts, then mapped to human reference genome hg38 using HISAT2.	Gene expression values (FPKM) were calculated using the featureCounts package in R.	Assembly: hg38	Supplementary files format and content: Normalized read counts (FPKM) in tab-separated format	GPL24676	Jan-Henning,,Klusmann	jan-henning.klusmann@kgu.de	Pediatric Hematology and Oncology	Goehte University Frankfurt	Theodor-Stern-Kai 7	Frankfurt	60590	Germany	0	Illumina NovaSeq 6000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN27654781	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX14927373	NONE	48 hours	patient sample expanded via xenotransplantation	LSD1 inhibitor
ML-DS1, ruxolitinib, rep1	GSM6050564	Public on May 27 2022	Apr 20 2022	May 27 2022	SRA	1	patient sample expanded via xenotransplantation	Homo sapiens	tissue: patient sample expanded via xenotransplantation	treatment: ruxolitinib	time: 48 hours	ML-DS patient samples were treated with DMSO (vehicle control), 350nM of the LSD1 inhibitor T-3775440, 1uM ruxolitinib, or the combination of T-3775440 and ruxolitinib for 48 hours.	Patient samples were maintained in StemSpan supplemental with a cytokine cocktail (FLT3-L, SCF, IL-6, IL-3, TPO) for the duration of the treatment (48 hours).	total RNA	Total RNA was extracted using the Zymo Quick-RNA Miniprep Kit with on-column DNase treatment (R1054).	Illumina sequencing libraries were prepared by Novogene Company, Ltd. using total cellular RNA, and sequenced on an Illumina NovaSeq platform (150 bp paired-end reads).	9606	Raw reads were trimmed and filtered by Novogene Company, Ltd. using in-house scripts, then mapped to human reference genome hg38 using HISAT2.	Gene expression values (FPKM) were calculated using the featureCounts package in R.	Assembly: hg38	Supplementary files format and content: Normalized read counts (FPKM) in tab-separated format	GPL24676	Jan-Henning,,Klusmann	jan-henning.klusmann@kgu.de	Pediatric Hematology and Oncology	Goehte University Frankfurt	Theodor-Stern-Kai 7	Frankfurt	60590	Germany	0	Illumina NovaSeq 6000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN27654780	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX14927374	NONE	48 hours	patient sample expanded via xenotransplantation	ruxolitinib
ML-DS1, ruxolitinib, rep2	GSM6050565	Public on May 27 2022	Apr 20 2022	May 27 2022	SRA	1	patient sample expanded via xenotransplantation	Homo sapiens	tissue: patient sample expanded via xenotransplantation	treatment: ruxolitinib	time: 48 hours	ML-DS patient samples were treated with DMSO (vehicle control), 350nM of the LSD1 inhibitor T-3775440, 1uM ruxolitinib, or the combination of T-3775440 and ruxolitinib for 48 hours.	Patient samples were maintained in StemSpan supplemental with a cytokine cocktail (FLT3-L, SCF, IL-6, IL-3, TPO) for the duration of the treatment (48 hours).	total RNA	Total RNA was extracted using the Zymo Quick-RNA Miniprep Kit with on-column DNase treatment (R1054).	Illumina sequencing libraries were prepared by Novogene Company, Ltd. using total cellular RNA, and sequenced on an Illumina NovaSeq platform (150 bp paired-end reads).	9606	Raw reads were trimmed and filtered by Novogene Company, Ltd. using in-house scripts, then mapped to human reference genome hg38 using HISAT2.	Gene expression values (FPKM) were calculated using the featureCounts package in R.	Assembly: hg38	Supplementary files format and content: Normalized read counts (FPKM) in tab-separated format	GPL24676	Jan-Henning,,Klusmann	jan-henning.klusmann@kgu.de	Pediatric Hematology and Oncology	Goehte University Frankfurt	Theodor-Stern-Kai 7	Frankfurt	60590	Germany	0	Illumina NovaSeq 6000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN27654779	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX14927375	NONE	48 hours	patient sample expanded via xenotransplantation	ruxolitinib
ML-DS2, DMSO, rep1	GSM6050566	Public on May 27 2022	Apr 20 2022	May 27 2022	SRA	1	patient sample expanded via xenotransplantation	Homo sapiens	tissue: patient sample expanded via xenotransplantation	treatment: DMSO (vehicle)	time: 48 hours	ML-DS patient samples were treated with DMSO (vehicle control), 350nM of the LSD1 inhibitor T-3775440, 1uM ruxolitinib, or the combination of T-3775440 and ruxolitinib for 48 hours.	Patient samples were maintained in StemSpan supplemental with a cytokine cocktail (FLT3-L, SCF, IL-6, IL-3, TPO) for the duration of the treatment (48 hours).	total RNA	Total RNA was extracted using the Zymo Quick-RNA Miniprep Kit with on-column DNase treatment (R1054).	Illumina sequencing libraries were prepared by Novogene Company, Ltd. using total cellular RNA, and sequenced on an Illumina NovaSeq platform (150 bp paired-end reads).	9606	Raw reads were trimmed and filtered by Novogene Company, Ltd. using in-house scripts, then mapped to human reference genome hg38 using HISAT2.	Gene expression values (FPKM) were calculated using the featureCounts package in R.	Assembly: hg38	Supplementary files format and content: Normalized read counts (FPKM) in tab-separated format	GPL24676	Jan-Henning,,Klusmann	jan-henning.klusmann@kgu.de	Pediatric Hematology and Oncology	Goehte University Frankfurt	Theodor-Stern-Kai 7	Frankfurt	60590	Germany	0	Illumina NovaSeq 6000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN27654778	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX14927376	NONE	48 hours	patient sample expanded via xenotransplantation	DMSO (vehicle)
ML-DS2, DMSO, rep2	GSM6050567	Public on May 27 2022	Apr 20 2022	May 27 2022	SRA	1	patient sample expanded via xenotransplantation	Homo sapiens	tissue: patient sample expanded via xenotransplantation	treatment: DMSO (vehicle)	time: 48 hours	ML-DS patient samples were treated with DMSO (vehicle control), 350nM of the LSD1 inhibitor T-3775440, 1uM ruxolitinib, or the combination of T-3775440 and ruxolitinib for 48 hours.	Patient samples were maintained in StemSpan supplemental with a cytokine cocktail (FLT3-L, SCF, IL-6, IL-3, TPO) for the duration of the treatment (48 hours).	total RNA	Total RNA was extracted using the Zymo Quick-RNA Miniprep Kit with on-column DNase treatment (R1054).	Illumina sequencing libraries were prepared by Novogene Company, Ltd. using total cellular RNA, and sequenced on an Illumina NovaSeq platform (150 bp paired-end reads).	9606	Raw reads were trimmed and filtered by Novogene Company, Ltd. using in-house scripts, then mapped to human reference genome hg38 using HISAT2.	Gene expression values (FPKM) were calculated using the featureCounts package in R.	Assembly: hg38	Supplementary files format and content: Normalized read counts (FPKM) in tab-separated format	GPL24676	Jan-Henning,,Klusmann	jan-henning.klusmann@kgu.de	Pediatric Hematology and Oncology	Goehte University Frankfurt	Theodor-Stern-Kai 7	Frankfurt	60590	Germany	0	Illumina NovaSeq 6000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN27654777	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX14927377	NONE	48 hours	patient sample expanded via xenotransplantation	DMSO (vehicle)
ML-DS2, LSD1 inhibitor, rep1	GSM6050568	Public on May 27 2022	Apr 20 2022	May 27 2022	SRA	1	patient sample expanded via xenotransplantation	Homo sapiens	tissue: patient sample expanded via xenotransplantation	treatment: LSD1 inhibitor	time: 48 hours	ML-DS patient samples were treated with DMSO (vehicle control), 350nM of the LSD1 inhibitor T-3775440, 1uM ruxolitinib, or the combination of T-3775440 and ruxolitinib for 48 hours.	Patient samples were maintained in StemSpan supplemental with a cytokine cocktail (FLT3-L, SCF, IL-6, IL-3, TPO) for the duration of the treatment (48 hours).	total RNA	Total RNA was extracted using the Zymo Quick-RNA Miniprep Kit with on-column DNase treatment (R1054).	Illumina sequencing libraries were prepared by Novogene Company, Ltd. using total cellular RNA, and sequenced on an Illumina NovaSeq platform (150 bp paired-end reads).	9606	Raw reads were trimmed and filtered by Novogene Company, Ltd. using in-house scripts, then mapped to human reference genome hg38 using HISAT2.	Gene expression values (FPKM) were calculated using the featureCounts package in R.	Assembly: hg38	Supplementary files format and content: Normalized read counts (FPKM) in tab-separated format	GPL24676	Jan-Henning,,Klusmann	jan-henning.klusmann@kgu.de	Pediatric Hematology and Oncology	Goehte University Frankfurt	Theodor-Stern-Kai 7	Frankfurt	60590	Germany	0	Illumina NovaSeq 6000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN27654776	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX14927378	NONE	48 hours	patient sample expanded via xenotransplantation	LSD1 inhibitor
ML-DS2, LSD1 inhibitor, rep2	GSM6050569	Public on May 27 2022	Apr 20 2022	May 27 2022	SRA	1	patient sample expanded via xenotransplantation	Homo sapiens	tissue: patient sample expanded via xenotransplantation	treatment: LSD1 inhibitor	time: 48 hours	ML-DS patient samples were treated with DMSO (vehicle control), 350nM of the LSD1 inhibitor T-3775440, 1uM ruxolitinib, or the combination of T-3775440 and ruxolitinib for 48 hours.	Patient samples were maintained in StemSpan supplemental with a cytokine cocktail (FLT3-L, SCF, IL-6, IL-3, TPO) for the duration of the treatment (48 hours).	total RNA	Total RNA was extracted using the Zymo Quick-RNA Miniprep Kit with on-column DNase treatment (R1054).	Illumina sequencing libraries were prepared by Novogene Company, Ltd. using total cellular RNA, and sequenced on an Illumina NovaSeq platform (150 bp paired-end reads).	9606	Raw reads were trimmed and filtered by Novogene Company, Ltd. using in-house scripts, then mapped to human reference genome hg38 using HISAT2.	Gene expression values (FPKM) were calculated using the featureCounts package in R.	Assembly: hg38	Supplementary files format and content: Normalized read counts (FPKM) in tab-separated format	GPL24676	Jan-Henning,,Klusmann	jan-henning.klusmann@kgu.de	Pediatric Hematology and Oncology	Goehte University Frankfurt	Theodor-Stern-Kai 7	Frankfurt	60590	Germany	0	Illumina NovaSeq 6000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN27654775	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX14927379	NONE	48 hours	patient sample expanded via xenotransplantation	LSD1 inhibitor
ML-DS2, ruxolitinib, rep1	GSM6050570	Public on May 27 2022	Apr 20 2022	May 27 2022	SRA	1	patient sample expanded via xenotransplantation	Homo sapiens	tissue: patient sample expanded via xenotransplantation	treatment: ruxolitinib	time: 48 hours	ML-DS patient samples were treated with DMSO (vehicle control), 350nM of the LSD1 inhibitor T-3775440, 1uM ruxolitinib, or the combination of T-3775440 and ruxolitinib for 48 hours.	Patient samples were maintained in StemSpan supplemental with a cytokine cocktail (FLT3-L, SCF, IL-6, IL-3, TPO) for the duration of the treatment (48 hours).	total RNA	Total RNA was extracted using the Zymo Quick-RNA Miniprep Kit with on-column DNase treatment (R1054).	Illumina sequencing libraries were prepared by Novogene Company, Ltd. using total cellular RNA, and sequenced on an Illumina NovaSeq platform (150 bp paired-end reads).	9606	Raw reads were trimmed and filtered by Novogene Company, Ltd. using in-house scripts, then mapped to human reference genome hg38 using HISAT2.	Gene expression values (FPKM) were calculated using the featureCounts package in R.	Assembly: hg38	Supplementary files format and content: Normalized read counts (FPKM) in tab-separated format	GPL24676	Jan-Henning,,Klusmann	jan-henning.klusmann@kgu.de	Pediatric Hematology and Oncology	Goehte University Frankfurt	Theodor-Stern-Kai 7	Frankfurt	60590	Germany	0	Illumina NovaSeq 6000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN27654774	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX14927380	NONE	48 hours	patient sample expanded via xenotransplantation	ruxolitinib
ML-DS2, ruxolitinib, rep2	GSM6050571	Public on May 27 2022	Apr 20 2022	May 27 2022	SRA	1	patient sample expanded via xenotransplantation	Homo sapiens	tissue: patient sample expanded via xenotransplantation	treatment: ruxolitinib	time: 48 hours	ML-DS patient samples were treated with DMSO (vehicle control), 350nM of the LSD1 inhibitor T-3775440, 1uM ruxolitinib, or the combination of T-3775440 and ruxolitinib for 48 hours.	Patient samples were maintained in StemSpan supplemental with a cytokine cocktail (FLT3-L, SCF, IL-6, IL-3, TPO) for the duration of the treatment (48 hours).	total RNA	Total RNA was extracted using the Zymo Quick-RNA Miniprep Kit with on-column DNase treatment (R1054).	Illumina sequencing libraries were prepared by Novogene Company, Ltd. using total cellular RNA, and sequenced on an Illumina NovaSeq platform (150 bp paired-end reads).	9606	Raw reads were trimmed and filtered by Novogene Company, Ltd. using in-house scripts, then mapped to human reference genome hg38 using HISAT2.	Gene expression values (FPKM) were calculated using the featureCounts package in R.	Assembly: hg38	Supplementary files format and content: Normalized read counts (FPKM) in tab-separated format	GPL24676	Jan-Henning,,Klusmann	jan-henning.klusmann@kgu.de	Pediatric Hematology and Oncology	Goehte University Frankfurt	Theodor-Stern-Kai 7	Frankfurt	60590	Germany	0	Illumina NovaSeq 6000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN27654773	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX14927381	NONE	48 hours	patient sample expanded via xenotransplantation	ruxolitinib
