title	geo_accession	status	submission_date	last_update_date	type	channel_count	source_name_ch1	organism_ch1	characteristics_ch1	characteristics_ch1.1	characteristics_ch1.2	characteristics_ch1.3	characteristics_ch1.4	characteristics_ch1.5	molecule_ch1	extract_protocol_ch1	extract_protocol_ch1.1	taxid_ch1	description	data_processing	data_processing.1	data_processing.2	data_processing.3	data_processing.4	platform_id	contact_name	contact_laboratory	contact_department	contact_institute	contact_address	contact_city	contact_state	contact_zip/postal_code	contact_country	data_row_count	instrument_model	library_selection	library_source	library_strategy	relation	relation.1	supplementary_file_1	batch:ch1	cell line:ch1	cell type:ch1	genotype:ch1	sample type:ch1	study:ch1
pilot_par_organoid_1	GSM6921577	Public on Jan 07 2023	Jan 07 2023	Jan 07 2023	SRA	1	par	Homo sapiens	study: pilot	sample type: single organoid	batch: none	cell line: par	cell type: iPSC-derived cerebral organoid	genotype: trisomic	polyA RNA	RNA was extracted using TRIzol reagent (ThermoFisher) according to manufacturers instructions. RNA samples were cleared of contaminating genomic DNA by DNAse I (Roche) treatment for 1h at 37C.	RNA cleanup and DNAse I removal was performed using RNeasy MinElute columns (Qiagen) according to manufacturer's instructions. Clean RNA was assessed for quality on an Advanced Analytical Fragment Analyzer. All samples had an RQN > 7.5 and strand-specific sequencing libraries were prepared using the NEBNext Ultra II Directional RNA Library Prep Kit for Illumina in conjunction with the NEBNext Poly(A) mRNA Magnetic Isolation Module and NEBNext Multiplex Oligos for Illumina (New England Biolabs).	9606	organoid_1	Reads were mapped using HISAT2 (v2.0.5) to the GRCh37 reference (augmented with Tet and Puro transgenes) indexed with Ensembl 87 annotations	Strand-specific read counts per gene (Ensembl 87 annotations) for each sample were computed with featureCounts (subread v1.6.2)	Assembly: GRCh37	Supplementary files format and content: gzipped tab-delimited tables of read counts per gene per sample in pilot study and expanded study	Supplementary files format and content: fasta file with TET3G and PURO transgenes that were added to the reference genome for mapping	GPL18573	Jan,,Czerminski	Jeanne Lawrence	Neurology	UMass Medical School	55 Lake Ave N	Worcester	MA	01655	USA	0	Illumina NextSeq 500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN32628870	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX18964208	NONE	none	par	iPSC-derived cerebral organoid	trisomic	single organoid	pilot
pilot_par_organoid_2	GSM6921578	Public on Jan 07 2023	Jan 07 2023	Jan 07 2023	SRA	1	par	Homo sapiens	study: pilot	sample type: single organoid	batch: none	cell line: par	cell type: iPSC-derived cerebral organoid	genotype: trisomic	polyA RNA	RNA was extracted using TRIzol reagent (ThermoFisher) according to manufacturers instructions. RNA samples were cleared of contaminating genomic DNA by DNAse I (Roche) treatment for 1h at 37C.	RNA cleanup and DNAse I removal was performed using RNeasy MinElute columns (Qiagen) according to manufacturer's instructions. Clean RNA was assessed for quality on an Advanced Analytical Fragment Analyzer. All samples had an RQN > 7.5 and strand-specific sequencing libraries were prepared using the NEBNext Ultra II Directional RNA Library Prep Kit for Illumina in conjunction with the NEBNext Poly(A) mRNA Magnetic Isolation Module and NEBNext Multiplex Oligos for Illumina (New England Biolabs).	9606	organoid_2	Reads were mapped using HISAT2 (v2.0.5) to the GRCh37 reference (augmented with Tet and Puro transgenes) indexed with Ensembl 87 annotations	Strand-specific read counts per gene (Ensembl 87 annotations) for each sample were computed with featureCounts (subread v1.6.2)	Assembly: GRCh37	Supplementary files format and content: gzipped tab-delimited tables of read counts per gene per sample in pilot study and expanded study	Supplementary files format and content: fasta file with TET3G and PURO transgenes that were added to the reference genome for mapping	GPL18573	Jan,,Czerminski	Jeanne Lawrence	Neurology	UMass Medical School	55 Lake Ave N	Worcester	MA	01655	USA	0	Illumina NextSeq 500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN32628869	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX18964209	NONE	none	par	iPSC-derived cerebral organoid	trisomic	single organoid	pilot
pilot_par_organoid_3	GSM6921579	Public on Jan 07 2023	Jan 07 2023	Jan 07 2023	SRA	1	par	Homo sapiens	study: pilot	sample type: single organoid	batch: none	cell line: par	cell type: iPSC-derived cerebral organoid	genotype: trisomic	polyA RNA	RNA was extracted using TRIzol reagent (ThermoFisher) according to manufacturers instructions. RNA samples were cleared of contaminating genomic DNA by DNAse I (Roche) treatment for 1h at 37C.	RNA cleanup and DNAse I removal was performed using RNeasy MinElute columns (Qiagen) according to manufacturer's instructions. Clean RNA was assessed for quality on an Advanced Analytical Fragment Analyzer. All samples had an RQN > 7.5 and strand-specific sequencing libraries were prepared using the NEBNext Ultra II Directional RNA Library Prep Kit for Illumina in conjunction with the NEBNext Poly(A) mRNA Magnetic Isolation Module and NEBNext Multiplex Oligos for Illumina (New England Biolabs).	9606	organoid_3	Reads were mapped using HISAT2 (v2.0.5) to the GRCh37 reference (augmented with Tet and Puro transgenes) indexed with Ensembl 87 annotations	Strand-specific read counts per gene (Ensembl 87 annotations) for each sample were computed with featureCounts (subread v1.6.2)	Assembly: GRCh37	Supplementary files format and content: gzipped tab-delimited tables of read counts per gene per sample in pilot study and expanded study	Supplementary files format and content: fasta file with TET3G and PURO transgenes that were added to the reference genome for mapping	GPL18573	Jan,,Czerminski	Jeanne Lawrence	Neurology	UMass Medical School	55 Lake Ave N	Worcester	MA	01655	USA	0	Illumina NextSeq 500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN32628868	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX18964210	NONE	none	par	iPSC-derived cerebral organoid	trisomic	single organoid	pilot
pilot_par_organoid_4	GSM6921580	Public on Jan 07 2023	Jan 07 2023	Jan 07 2023	SRA	1	par	Homo sapiens	study: pilot	sample type: single organoid	batch: none	cell line: par	cell type: iPSC-derived cerebral organoid	genotype: trisomic	polyA RNA	RNA was extracted using TRIzol reagent (ThermoFisher) according to manufacturers instructions. RNA samples were cleared of contaminating genomic DNA by DNAse I (Roche) treatment for 1h at 37C.	RNA cleanup and DNAse I removal was performed using RNeasy MinElute columns (Qiagen) according to manufacturer's instructions. Clean RNA was assessed for quality on an Advanced Analytical Fragment Analyzer. All samples had an RQN > 7.5 and strand-specific sequencing libraries were prepared using the NEBNext Ultra II Directional RNA Library Prep Kit for Illumina in conjunction with the NEBNext Poly(A) mRNA Magnetic Isolation Module and NEBNext Multiplex Oligos for Illumina (New England Biolabs).	9606	organoid_4	Reads were mapped using HISAT2 (v2.0.5) to the GRCh37 reference (augmented with Tet and Puro transgenes) indexed with Ensembl 87 annotations	Strand-specific read counts per gene (Ensembl 87 annotations) for each sample were computed with featureCounts (subread v1.6.2)	Assembly: GRCh37	Supplementary files format and content: gzipped tab-delimited tables of read counts per gene per sample in pilot study and expanded study	Supplementary files format and content: fasta file with TET3G and PURO transgenes that were added to the reference genome for mapping	GPL18573	Jan,,Czerminski	Jeanne Lawrence	Neurology	UMass Medical School	55 Lake Ave N	Worcester	MA	01655	USA	0	Illumina NextSeq 500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN32628867	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX18964211	NONE	none	par	iPSC-derived cerebral organoid	trisomic	single organoid	pilot
pilot_par_organoid_5	GSM6921581	Public on Jan 07 2023	Jan 07 2023	Jan 07 2023	SRA	1	par	Homo sapiens	study: pilot	sample type: single organoid	batch: none	cell line: par	cell type: iPSC-derived cerebral organoid	genotype: trisomic	polyA RNA	RNA was extracted using TRIzol reagent (ThermoFisher) according to manufacturers instructions. RNA samples were cleared of contaminating genomic DNA by DNAse I (Roche) treatment for 1h at 37C.	RNA cleanup and DNAse I removal was performed using RNeasy MinElute columns (Qiagen) according to manufacturer's instructions. Clean RNA was assessed for quality on an Advanced Analytical Fragment Analyzer. All samples had an RQN > 7.5 and strand-specific sequencing libraries were prepared using the NEBNext Ultra II Directional RNA Library Prep Kit for Illumina in conjunction with the NEBNext Poly(A) mRNA Magnetic Isolation Module and NEBNext Multiplex Oligos for Illumina (New England Biolabs).	9606	organoid_5	Reads were mapped using HISAT2 (v2.0.5) to the GRCh37 reference (augmented with Tet and Puro transgenes) indexed with Ensembl 87 annotations	Strand-specific read counts per gene (Ensembl 87 annotations) for each sample were computed with featureCounts (subread v1.6.2)	Assembly: GRCh37	Supplementary files format and content: gzipped tab-delimited tables of read counts per gene per sample in pilot study and expanded study	Supplementary files format and content: fasta file with TET3G and PURO transgenes that were added to the reference genome for mapping	GPL18573	Jan,,Czerminski	Jeanne Lawrence	Neurology	UMass Medical School	55 Lake Ave N	Worcester	MA	01655	USA	0	Illumina NextSeq 500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN32628866	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX18964212	NONE	none	par	iPSC-derived cerebral organoid	trisomic	single organoid	pilot
pilot_dis_organoid_6	GSM6921582	Public on Jan 07 2023	Jan 07 2023	Jan 07 2023	SRA	1	dis	Homo sapiens	study: pilot	sample type: single organoid	batch: none	cell line: dis	cell type: iPSC-derived cerebral organoid	genotype: disomic	polyA RNA	RNA was extracted using TRIzol reagent (ThermoFisher) according to manufacturers instructions. RNA samples were cleared of contaminating genomic DNA by DNAse I (Roche) treatment for 1h at 37C.	RNA cleanup and DNAse I removal was performed using RNeasy MinElute columns (Qiagen) according to manufacturer's instructions. Clean RNA was assessed for quality on an Advanced Analytical Fragment Analyzer. All samples had an RQN > 7.5 and strand-specific sequencing libraries were prepared using the NEBNext Ultra II Directional RNA Library Prep Kit for Illumina in conjunction with the NEBNext Poly(A) mRNA Magnetic Isolation Module and NEBNext Multiplex Oligos for Illumina (New England Biolabs).	9606	organoid_6	Reads were mapped using HISAT2 (v2.0.5) to the GRCh37 reference (augmented with Tet and Puro transgenes) indexed with Ensembl 87 annotations	Strand-specific read counts per gene (Ensembl 87 annotations) for each sample were computed with featureCounts (subread v1.6.2)	Assembly: GRCh37	Supplementary files format and content: gzipped tab-delimited tables of read counts per gene per sample in pilot study and expanded study	Supplementary files format and content: fasta file with TET3G and PURO transgenes that were added to the reference genome for mapping	GPL18573	Jan,,Czerminski	Jeanne Lawrence	Neurology	UMass Medical School	55 Lake Ave N	Worcester	MA	01655	USA	0	Illumina NextSeq 500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN32628865	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX18964213	NONE	none	dis	iPSC-derived cerebral organoid	disomic	single organoid	pilot
pilot_dis_organoid_7	GSM6921583	Public on Jan 07 2023	Jan 07 2023	Jan 07 2023	SRA	1	dis	Homo sapiens	study: pilot	sample type: single organoid	batch: none	cell line: dis	cell type: iPSC-derived cerebral organoid	genotype: disomic	polyA RNA	RNA was extracted using TRIzol reagent (ThermoFisher) according to manufacturers instructions. RNA samples were cleared of contaminating genomic DNA by DNAse I (Roche) treatment for 1h at 37C.	RNA cleanup and DNAse I removal was performed using RNeasy MinElute columns (Qiagen) according to manufacturer's instructions. Clean RNA was assessed for quality on an Advanced Analytical Fragment Analyzer. All samples had an RQN > 7.5 and strand-specific sequencing libraries were prepared using the NEBNext Ultra II Directional RNA Library Prep Kit for Illumina in conjunction with the NEBNext Poly(A) mRNA Magnetic Isolation Module and NEBNext Multiplex Oligos for Illumina (New England Biolabs).	9606	organoid_7	Reads were mapped using HISAT2 (v2.0.5) to the GRCh37 reference (augmented with Tet and Puro transgenes) indexed with Ensembl 87 annotations	Strand-specific read counts per gene (Ensembl 87 annotations) for each sample were computed with featureCounts (subread v1.6.2)	Assembly: GRCh37	Supplementary files format and content: gzipped tab-delimited tables of read counts per gene per sample in pilot study and expanded study	Supplementary files format and content: fasta file with TET3G and PURO transgenes that were added to the reference genome for mapping	GPL18573	Jan,,Czerminski	Jeanne Lawrence	Neurology	UMass Medical School	55 Lake Ave N	Worcester	MA	01655	USA	0	Illumina NextSeq 500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN32628864	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX18964214	NONE	none	dis	iPSC-derived cerebral organoid	disomic	single organoid	pilot
pilot_dis_organoid_8	GSM6921584	Public on Jan 07 2023	Jan 07 2023	Jan 07 2023	SRA	1	dis	Homo sapiens	study: pilot	sample type: single organoid	batch: none	cell line: dis	cell type: iPSC-derived cerebral organoid	genotype: disomic	polyA RNA	RNA was extracted using TRIzol reagent (ThermoFisher) according to manufacturers instructions. RNA samples were cleared of contaminating genomic DNA by DNAse I (Roche) treatment for 1h at 37C.	RNA cleanup and DNAse I removal was performed using RNeasy MinElute columns (Qiagen) according to manufacturer's instructions. Clean RNA was assessed for quality on an Advanced Analytical Fragment Analyzer. All samples had an RQN > 7.5 and strand-specific sequencing libraries were prepared using the NEBNext Ultra II Directional RNA Library Prep Kit for Illumina in conjunction with the NEBNext Poly(A) mRNA Magnetic Isolation Module and NEBNext Multiplex Oligos for Illumina (New England Biolabs).	9606	organoid_8	Reads were mapped using HISAT2 (v2.0.5) to the GRCh37 reference (augmented with Tet and Puro transgenes) indexed with Ensembl 87 annotations	Strand-specific read counts per gene (Ensembl 87 annotations) for each sample were computed with featureCounts (subread v1.6.2)	Assembly: GRCh37	Supplementary files format and content: gzipped tab-delimited tables of read counts per gene per sample in pilot study and expanded study	Supplementary files format and content: fasta file with TET3G and PURO transgenes that were added to the reference genome for mapping	GPL18573	Jan,,Czerminski	Jeanne Lawrence	Neurology	UMass Medical School	55 Lake Ave N	Worcester	MA	01655	USA	0	Illumina NextSeq 500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN32628863	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX18964215	NONE	none	dis	iPSC-derived cerebral organoid	disomic	single organoid	pilot
pilot_dis_organoid_9	GSM6921585	Public on Jan 07 2023	Jan 07 2023	Jan 07 2023	SRA	1	dis	Homo sapiens	study: pilot	sample type: single organoid	batch: none	cell line: dis	cell type: iPSC-derived cerebral organoid	genotype: disomic	polyA RNA	RNA was extracted using TRIzol reagent (ThermoFisher) according to manufacturers instructions. RNA samples were cleared of contaminating genomic DNA by DNAse I (Roche) treatment for 1h at 37C.	RNA cleanup and DNAse I removal was performed using RNeasy MinElute columns (Qiagen) according to manufacturer's instructions. Clean RNA was assessed for quality on an Advanced Analytical Fragment Analyzer. All samples had an RQN > 7.5 and strand-specific sequencing libraries were prepared using the NEBNext Ultra II Directional RNA Library Prep Kit for Illumina in conjunction with the NEBNext Poly(A) mRNA Magnetic Isolation Module and NEBNext Multiplex Oligos for Illumina (New England Biolabs).	9606	organoid_9	Reads were mapped using HISAT2 (v2.0.5) to the GRCh37 reference (augmented with Tet and Puro transgenes) indexed with Ensembl 87 annotations	Strand-specific read counts per gene (Ensembl 87 annotations) for each sample were computed with featureCounts (subread v1.6.2)	Assembly: GRCh37	Supplementary files format and content: gzipped tab-delimited tables of read counts per gene per sample in pilot study and expanded study	Supplementary files format and content: fasta file with TET3G and PURO transgenes that were added to the reference genome for mapping	GPL18573	Jan,,Czerminski	Jeanne Lawrence	Neurology	UMass Medical School	55 Lake Ave N	Worcester	MA	01655	USA	0	Illumina NextSeq 500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN32628862	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX18964216	NONE	none	dis	iPSC-derived cerebral organoid	disomic	single organoid	pilot
pilot_dis_organoid_10	GSM6921586	Public on Jan 07 2023	Jan 07 2023	Jan 07 2023	SRA	1	dis	Homo sapiens	study: pilot	sample type: single organoid	batch: none	cell line: dis	cell type: iPSC-derived cerebral organoid	genotype: disomic	polyA RNA	RNA was extracted using TRIzol reagent (ThermoFisher) according to manufacturers instructions. RNA samples were cleared of contaminating genomic DNA by DNAse I (Roche) treatment for 1h at 37C.	RNA cleanup and DNAse I removal was performed using RNeasy MinElute columns (Qiagen) according to manufacturer's instructions. Clean RNA was assessed for quality on an Advanced Analytical Fragment Analyzer. All samples had an RQN > 7.5 and strand-specific sequencing libraries were prepared using the NEBNext Ultra II Directional RNA Library Prep Kit for Illumina in conjunction with the NEBNext Poly(A) mRNA Magnetic Isolation Module and NEBNext Multiplex Oligos for Illumina (New England Biolabs).	9606	organoid_10	Reads were mapped using HISAT2 (v2.0.5) to the GRCh37 reference (augmented with Tet and Puro transgenes) indexed with Ensembl 87 annotations	Strand-specific read counts per gene (Ensembl 87 annotations) for each sample were computed with featureCounts (subread v1.6.2)	Assembly: GRCh37	Supplementary files format and content: gzipped tab-delimited tables of read counts per gene per sample in pilot study and expanded study	Supplementary files format and content: fasta file with TET3G and PURO transgenes that were added to the reference genome for mapping	GPL18573	Jan,,Czerminski	Jeanne Lawrence	Neurology	UMass Medical School	55 Lake Ave N	Worcester	MA	01655	USA	0	Illumina NextSeq 500	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN32628861	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX18964217	NONE	none	dis	iPSC-derived cerebral organoid	disomic	single organoid	pilot
