title	geo_accession	status	submission_date	last_update_date	type	channel_count	source_name_ch1	organism_ch1	characteristics_ch1	characteristics_ch1.1	molecule_ch1	extract_protocol_ch1	extract_protocol_ch1.1	taxid_ch1	description	description.1	description.2	data_processing	data_processing.1	data_processing.2	data_processing.3	data_processing.4	data_processing.5	data_processing.6	data_processing.7	data_processing.8	platform_id	contact_name	contact_department	contact_institute	contact_address	contact_city	contact_state	contact_zip/postal_code	contact_country	data_row_count	instrument_model	library_selection	library_source	library_strategy	relation	relation.1	supplementary_file_1	batch:ch1	condition:ch1
Disomic, Monocyte, Female, 17 Year old [D21_F17YR_5112016]	GSM2241547	Public on Jul 29 2016	Jul 18 2016	Dec 03 2021	SRA	1	Monocyte	Homo sapiens	condition: Disomic	batch: A	polyA RNA	RNA was prepared using the AllPrep Kit from Qiagen	Libraries were prepared using the Truseq Stranded Kit from Illumina	9606	polyA RNA from Monocyte cells	HTSeq_in_mon_counts.txt.gz	D21_F17YR	Basecalls performed using bcl2fastq_v1.8.4 with the following options (--mismatches 1 fastq-cluster-count 0 )	FASTQC v0.11.2 was used to determine sequence quality	fastqc-mcf was used to trim low quality bases, adapters and N content from 3’ end (<q10). Removed reads that were shorter than 30bp after trimming	Reads were mapped using Tophat2 (v2.0.13) with the following options (--b2-sensitive --keep-fasta-order --no-coverage-search --max-multihits 10 --library-type fr-firststrand)	Reads with MAPQ > 10 were kept using Samtools (v0.1.19)	Reads were coordinate sorted and duplicates were marked using Picard (v1.129)	Raw count data was generated using HTSeq (v0.6.1) with the following options (--stranded=reverse –minaqual=10 –type=exon –idattr=gene --mode=intersection-nonempty)	Genome_build: hg19	Supplementary_files_format_and_content: Tab delimited text files containing raw gene counts for each sample	GPL20301	Matthew,D,Galbraith	Pharmacology & Linda Crnic Institute for Down Syndrome	University of Colorado Anschutz Medical Campus	RC1-N, Mail Stop 8303, Rm. P18-6114 12800 E. 19th Ave.	Aurora	CO	80045	USA	0	Illumina HiSeq 4000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN05415242	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1959643	NONE	A	Disomic
Disomic, Monocyte, Female, 29 Year old [D21_F29YR_5112016]	GSM2241548	Public on Jul 29 2016	Jul 18 2016	Dec 03 2021	SRA	1	Monocyte	Homo sapiens	condition: Disomic	batch: A	polyA RNA	RNA was prepared using the AllPrep Kit from Qiagen	Libraries were prepared using the Truseq Stranded Kit from Illumina	9606	polyA RNA from Monocyte cells	HTSeq_in_mon_counts.txt.gz	D21_F29YR	Basecalls performed using bcl2fastq_v1.8.4 with the following options (--mismatches 1 fastq-cluster-count 0 )	FASTQC v0.11.2 was used to determine sequence quality	fastqc-mcf was used to trim low quality bases, adapters and N content from 3’ end (<q10). Removed reads that were shorter than 30bp after trimming	Reads were mapped using Tophat2 (v2.0.13) with the following options (--b2-sensitive --keep-fasta-order --no-coverage-search --max-multihits 10 --library-type fr-firststrand)	Reads with MAPQ > 10 were kept using Samtools (v0.1.19)	Reads were coordinate sorted and duplicates were marked using Picard (v1.129)	Raw count data was generated using HTSeq (v0.6.1) with the following options (--stranded=reverse –minaqual=10 –type=exon –idattr=gene --mode=intersection-nonempty)	Genome_build: hg19	Supplementary_files_format_and_content: Tab delimited text files containing raw gene counts for each sample	GPL20301	Matthew,D,Galbraith	Pharmacology & Linda Crnic Institute for Down Syndrome	University of Colorado Anschutz Medical Campus	RC1-N, Mail Stop 8303, Rm. P18-6114 12800 E. 19th Ave.	Aurora	CO	80045	USA	0	Illumina HiSeq 4000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN05415243	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1959644	NONE	A	Disomic
Disomic, Monocyte, Male, 31 Year old [D21_M31YR_5112016]	GSM2241549	Public on Jul 29 2016	Jul 18 2016	Dec 03 2021	SRA	1	Monocyte	Homo sapiens	condition: Disomic	batch: A	polyA RNA	RNA was prepared using the AllPrep Kit from Qiagen	Libraries were prepared using the Truseq Stranded Kit from Illumina	9606	polyA RNA from Monocyte cells	HTSeq_in_mon_counts.txt.gz	D21_M31YR	Basecalls performed using bcl2fastq_v1.8.4 with the following options (--mismatches 1 fastq-cluster-count 0 )	FASTQC v0.11.2 was used to determine sequence quality	fastqc-mcf was used to trim low quality bases, adapters and N content from 3’ end (<q10). Removed reads that were shorter than 30bp after trimming	Reads were mapped using Tophat2 (v2.0.13) with the following options (--b2-sensitive --keep-fasta-order --no-coverage-search --max-multihits 10 --library-type fr-firststrand)	Reads with MAPQ > 10 were kept using Samtools (v0.1.19)	Reads were coordinate sorted and duplicates were marked using Picard (v1.129)	Raw count data was generated using HTSeq (v0.6.1) with the following options (--stranded=reverse –minaqual=10 –type=exon –idattr=gene --mode=intersection-nonempty)	Genome_build: hg19	Supplementary_files_format_and_content: Tab delimited text files containing raw gene counts for each sample	GPL20301	Matthew,D,Galbraith	Pharmacology & Linda Crnic Institute for Down Syndrome	University of Colorado Anschutz Medical Campus	RC1-N, Mail Stop 8303, Rm. P18-6114 12800 E. 19th Ave.	Aurora	CO	80045	USA	0	Illumina HiSeq 4000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN05415244	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1959645	NONE	A	Disomic
Disomic, Monocyte, Male, 38 Year old [D21_M38YR_5112016]	GSM2241550	Public on Jul 29 2016	Jul 18 2016	Dec 03 2021	SRA	1	Monocyte	Homo sapiens	condition: Disomic	batch: A	polyA RNA	RNA was prepared using the AllPrep Kit from Qiagen	Libraries were prepared using the Truseq Stranded Kit from Illumina	9606	polyA RNA from Monocyte cells	HTSeq_in_mon_counts.txt.gz	D21_M38YR	Basecalls performed using bcl2fastq_v1.8.4 with the following options (--mismatches 1 fastq-cluster-count 0 )	FASTQC v0.11.2 was used to determine sequence quality	fastqc-mcf was used to trim low quality bases, adapters and N content from 3’ end (<q10). Removed reads that were shorter than 30bp after trimming	Reads were mapped using Tophat2 (v2.0.13) with the following options (--b2-sensitive --keep-fasta-order --no-coverage-search --max-multihits 10 --library-type fr-firststrand)	Reads with MAPQ > 10 were kept using Samtools (v0.1.19)	Reads were coordinate sorted and duplicates were marked using Picard (v1.129)	Raw count data was generated using HTSeq (v0.6.1) with the following options (--stranded=reverse –minaqual=10 –type=exon –idattr=gene --mode=intersection-nonempty)	Genome_build: hg19	Supplementary_files_format_and_content: Tab delimited text files containing raw gene counts for each sample	GPL20301	Matthew,D,Galbraith	Pharmacology & Linda Crnic Institute for Down Syndrome	University of Colorado Anschutz Medical Campus	RC1-N, Mail Stop 8303, Rm. P18-6114 12800 E. 19th Ave.	Aurora	CO	80045	USA	0	Illumina HiSeq 4000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN05415245	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1959646	NONE	A	Disomic
Trisomic, Monocyte, Female, 32 Year old [T21_F32YR_5112016]	GSM2241551	Public on Jul 29 2016	Jul 18 2016	Dec 03 2021	SRA	1	Monocyte	Homo sapiens	condition: Trisomic	batch: A	polyA RNA	RNA was prepared using the AllPrep Kit from Qiagen	Libraries were prepared using the Truseq Stranded Kit from Illumina	9606	polyA RNA from Monocyte cells	HTSeq_in_mon_counts.txt.gz	T21_F32YR	Basecalls performed using bcl2fastq_v1.8.4 with the following options (--mismatches 1 fastq-cluster-count 0 )	FASTQC v0.11.2 was used to determine sequence quality	fastqc-mcf was used to trim low quality bases, adapters and N content from 3’ end (<q10). Removed reads that were shorter than 30bp after trimming	Reads were mapped using Tophat2 (v2.0.13) with the following options (--b2-sensitive --keep-fasta-order --no-coverage-search --max-multihits 10 --library-type fr-firststrand)	Reads with MAPQ > 10 were kept using Samtools (v0.1.19)	Reads were coordinate sorted and duplicates were marked using Picard (v1.129)	Raw count data was generated using HTSeq (v0.6.1) with the following options (--stranded=reverse –minaqual=10 –type=exon –idattr=gene --mode=intersection-nonempty)	Genome_build: hg19	Supplementary_files_format_and_content: Tab delimited text files containing raw gene counts for each sample	GPL20301	Matthew,D,Galbraith	Pharmacology & Linda Crnic Institute for Down Syndrome	University of Colorado Anschutz Medical Campus	RC1-N, Mail Stop 8303, Rm. P18-6114 12800 E. 19th Ave.	Aurora	CO	80045	USA	0	Illumina HiSeq 4000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN05415246	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1959647	NONE	A	Trisomic
Trisomic, Monocyte, Female, 45 Year old [T21_F45YR_5112016]	GSM2241552	Public on Jul 29 2016	Jul 18 2016	Dec 03 2021	SRA	1	Monocyte	Homo sapiens	condition: Trisomic	batch: A	polyA RNA	RNA was prepared using the AllPrep Kit from Qiagen	Libraries were prepared using the Truseq Stranded Kit from Illumina	9606	polyA RNA from Monocyte cells	HTSeq_in_mon_counts.txt.gz	T21_F45YR	Basecalls performed using bcl2fastq_v1.8.4 with the following options (--mismatches 1 fastq-cluster-count 0 )	FASTQC v0.11.2 was used to determine sequence quality	fastqc-mcf was used to trim low quality bases, adapters and N content from 3’ end (<q10). Removed reads that were shorter than 30bp after trimming	Reads were mapped using Tophat2 (v2.0.13) with the following options (--b2-sensitive --keep-fasta-order --no-coverage-search --max-multihits 10 --library-type fr-firststrand)	Reads with MAPQ > 10 were kept using Samtools (v0.1.19)	Reads were coordinate sorted and duplicates were marked using Picard (v1.129)	Raw count data was generated using HTSeq (v0.6.1) with the following options (--stranded=reverse –minaqual=10 –type=exon –idattr=gene --mode=intersection-nonempty)	Genome_build: hg19	Supplementary_files_format_and_content: Tab delimited text files containing raw gene counts for each sample	GPL20301	Matthew,D,Galbraith	Pharmacology & Linda Crnic Institute for Down Syndrome	University of Colorado Anschutz Medical Campus	RC1-N, Mail Stop 8303, Rm. P18-6114 12800 E. 19th Ave.	Aurora	CO	80045	USA	0	Illumina HiSeq 4000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN05415247	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1959648	NONE	A	Trisomic
Trisomic, Monocyte, Female, 13 Year old [T21_M13YRA_5112016]	GSM2241553	Public on Jul 29 2016	Jul 18 2016	Dec 03 2021	SRA	1	Monocyte	Homo sapiens	condition: Trisomic	batch: A	polyA RNA	RNA was prepared using the AllPrep Kit from Qiagen	Libraries were prepared using the Truseq Stranded Kit from Illumina	9606	polyA RNA from Monocyte cells	HTSeq_in_mon_counts.txt.gz	T21_M13YRA	Basecalls performed using bcl2fastq_v1.8.4 with the following options (--mismatches 1 fastq-cluster-count 0 )	FASTQC v0.11.2 was used to determine sequence quality	fastqc-mcf was used to trim low quality bases, adapters and N content from 3’ end (<q10). Removed reads that were shorter than 30bp after trimming	Reads were mapped using Tophat2 (v2.0.13) with the following options (--b2-sensitive --keep-fasta-order --no-coverage-search --max-multihits 10 --library-type fr-firststrand)	Reads with MAPQ > 10 were kept using Samtools (v0.1.19)	Reads were coordinate sorted and duplicates were marked using Picard (v1.129)	Raw count data was generated using HTSeq (v0.6.1) with the following options (--stranded=reverse –minaqual=10 –type=exon –idattr=gene --mode=intersection-nonempty)	Genome_build: hg19	Supplementary_files_format_and_content: Tab delimited text files containing raw gene counts for each sample	GPL20301	Matthew,D,Galbraith	Pharmacology & Linda Crnic Institute for Down Syndrome	University of Colorado Anschutz Medical Campus	RC1-N, Mail Stop 8303, Rm. P18-6114 12800 E. 19th Ave.	Aurora	CO	80045	USA	0	Illumina HiSeq 4000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN05415248	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1959649	NONE	A	Trisomic
Trisomic, Monocyte, Female, 13 Year old [T21_M13YRB_5112016]	GSM2241554	Public on Jul 29 2016	Jul 18 2016	Dec 03 2021	SRA	1	Monocyte	Homo sapiens	condition: Trisomic	batch: A	polyA RNA	RNA was prepared using the AllPrep Kit from Qiagen	Libraries were prepared using the Truseq Stranded Kit from Illumina	9606	polyA RNA from Monocyte cells	HTSeq_in_mon_counts.txt.gz	T21_M13YRB	Basecalls performed using bcl2fastq_v1.8.4 with the following options (--mismatches 1 fastq-cluster-count 0 )	FASTQC v0.11.2 was used to determine sequence quality	fastqc-mcf was used to trim low quality bases, adapters and N content from 3’ end (<q10). Removed reads that were shorter than 30bp after trimming	Reads were mapped using Tophat2 (v2.0.13) with the following options (--b2-sensitive --keep-fasta-order --no-coverage-search --max-multihits 10 --library-type fr-firststrand)	Reads with MAPQ > 10 were kept using Samtools (v0.1.19)	Reads were coordinate sorted and duplicates were marked using Picard (v1.129)	Raw count data was generated using HTSeq (v0.6.1) with the following options (--stranded=reverse –minaqual=10 –type=exon –idattr=gene --mode=intersection-nonempty)	Genome_build: hg19	Supplementary_files_format_and_content: Tab delimited text files containing raw gene counts for each sample	GPL20301	Matthew,D,Galbraith	Pharmacology & Linda Crnic Institute for Down Syndrome	University of Colorado Anschutz Medical Campus	RC1-N, Mail Stop 8303, Rm. P18-6114 12800 E. 19th Ave.	Aurora	CO	80045	USA	0	Illumina HiSeq 4000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN05415249	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1959650	NONE	A	Trisomic
Trisomic, Monocyte, Male, 1 Year old [T21_M1YR_5312016]	GSM2241555	Public on Jul 29 2016	Jul 18 2016	Dec 03 2021	SRA	1	Monocyte	Homo sapiens	condition: Trisomic	batch: B	polyA RNA	RNA was prepared using the AllPrep Kit from Qiagen	Libraries were prepared using the Truseq Stranded Kit from Illumina	9606	polyA RNA from Monocyte cells	HTSeq_in_mon_counts.txt.gz	T21_M1YR	Basecalls performed using bcl2fastq_v1.8.4 with the following options (--mismatches 1 fastq-cluster-count 0 )	FASTQC v0.11.2 was used to determine sequence quality	fastqc-mcf was used to trim low quality bases, adapters and N content from 3’ end (<q10). Removed reads that were shorter than 30bp after trimming	Reads were mapped using Tophat2 (v2.0.13) with the following options (--b2-sensitive --keep-fasta-order --no-coverage-search --max-multihits 10 --library-type fr-firststrand)	Reads with MAPQ > 10 were kept using Samtools (v0.1.19)	Reads were coordinate sorted and duplicates were marked using Picard (v1.129)	Raw count data was generated using HTSeq (v0.6.1) with the following options (--stranded=reverse –minaqual=10 –type=exon –idattr=gene --mode=intersection-nonempty)	Genome_build: hg19	Supplementary_files_format_and_content: Tab delimited text files containing raw gene counts for each sample	GPL20301	Matthew,D,Galbraith	Pharmacology & Linda Crnic Institute for Down Syndrome	University of Colorado Anschutz Medical Campus	RC1-N, Mail Stop 8303, Rm. P18-6114 12800 E. 19th Ave.	Aurora	CO	80045	USA	0	Illumina HiSeq 4000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN05415250	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1959651	NONE	B	Trisomic
Trisomic, Monocyte, Male, 14 Year old [T21_M14YR_5312016]	GSM2241556	Public on Jul 29 2016	Jul 18 2016	Dec 03 2021	SRA	1	Monocyte	Homo sapiens	condition: Trisomic	batch: B	polyA RNA	RNA was prepared using the AllPrep Kit from Qiagen	Libraries were prepared using the Truseq Stranded Kit from Illumina	9606	polyA RNA from Monocyte cells	HTSeq_in_mon_counts.txt.gz	T21_M14YR	Basecalls performed using bcl2fastq_v1.8.4 with the following options (--mismatches 1 fastq-cluster-count 0 )	FASTQC v0.11.2 was used to determine sequence quality	fastqc-mcf was used to trim low quality bases, adapters and N content from 3’ end (<q10). Removed reads that were shorter than 30bp after trimming	Reads were mapped using Tophat2 (v2.0.13) with the following options (--b2-sensitive --keep-fasta-order --no-coverage-search --max-multihits 10 --library-type fr-firststrand)	Reads with MAPQ > 10 were kept using Samtools (v0.1.19)	Reads were coordinate sorted and duplicates were marked using Picard (v1.129)	Raw count data was generated using HTSeq (v0.6.1) with the following options (--stranded=reverse –minaqual=10 –type=exon –idattr=gene --mode=intersection-nonempty)	Genome_build: hg19	Supplementary_files_format_and_content: Tab delimited text files containing raw gene counts for each sample	GPL20301	Matthew,D,Galbraith	Pharmacology & Linda Crnic Institute for Down Syndrome	University of Colorado Anschutz Medical Campus	RC1-N, Mail Stop 8303, Rm. P18-6114 12800 E. 19th Ave.	Aurora	CO	80045	USA	0	Illumina HiSeq 4000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN05415251	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX1959652	NONE	B	Trisomic
