geo_accession	sex	ploidy	cell_type
GSM2719212	n/a	trisomic	human induced pluripotent stem cells (iPSCs)
GSM2719213	n/a	trisomic	human induced pluripotent stem cells (iPSCs)
GSM2719214	n/a	trisomic	human induced pluripotent stem cells (iPSCs)
GSM2719215	n/a	trisomic	human induced pluripotent stem cells (iPSCs)
GSM2719216	n/a	trisomic	human induced pluripotent stem cells (iPSCs)
GSM2719217	n/a	trisomic	human induced pluripotent stem cells (iPSCs)
GSM2719218	n/a	trisomic	IPSC-derived Neurons
GSM2719219	n/a	trisomic	IPSC-derived Neurons
GSM2719220	n/a	trisomic	IPSC-derived Neurons
GSM2719221	n/a	trisomic	IPSC-derived Neurons
GSM2719222	n/a	trisomic	IPSC-derived Neurons
GSM2719223	n/a	trisomic	IPSC-derived Neurons
GSM3144752	n/a	disomic	n/a
GSM3144753	n/a	disomic	n/a
GSM3144754	n/a	disomic	n/a
GSM3144755	n/a	disomic	n/a
GSM3144756	n/a	disomic	n/a
GSM3144757	n/a	trisomic	n/a
GSM3144758	n/a	trisomic	n/a
GSM3144759	n/a	trisomic	n/a
GSM3144760	n/a	trisomic	n/a
GSM3144761	n/a	trisomic	n/a
GSM3144762	n/a	trisomic	n/a
GSM3144763	n/a	trisomic	n/a
GSM3144764	n/a	trisomic	n/a
GSM3144765	n/a	trisomic	n/a
GSM3144766	n/a	trisomic	n/a
GSM3144767	n/a	trisomic	n/a
GSM3144768	n/a	trisomic	n/a
GSM3144769	n/a	trisomic	n/a
GSM3144770	n/a	trisomic	n/a
GSM3144771	n/a	trisomic	n/a
GSM3144772	n/a	trisomic	n/a
GSM3144773	n/a	trisomic	n/a
GSM3144774	n/a	trisomic	n/a
GSM3144775	n/a	trisomic	n/a
GSM3144776	n/a	trisomic	n/a
GSM3144777	n/a	trisomic	n/a
GSM3144778	n/a	trisomic	n/a
GSM3144779	n/a	trisomic	n/a
GSM3144780	n/a	trisomic	n/a
GSM3144781	n/a	trisomic	n/a
GSM3144782	n/a	trisomic	n/a
GSM3144783	n/a	trisomic	n/a
GSM3144784	n/a	trisomic	n/a
GSM3144785	n/a	trisomic	n/a
GSM3144786	n/a	trisomic	n/a
GSM3144787	n/a	trisomic	n/a
GSM3144788	n/a	trisomic	n/a
GSM3144789	n/a	trisomic	n/a
GSM3144790	n/a	trisomic	n/a
GSM3144791	n/a	trisomic	n/a
GSM3144792	n/a	trisomic	n/a
GSM3144793	n/a	trisomic	n/a
GSM3144794	n/a	trisomic	n/a
GSM3144795	n/a	trisomic	n/a
GSM3144796	n/a	trisomic	n/a
