geo_accession	sex	ploidy	cell_type
GSM2977235	n/a	trisomic	n/a
GSM2977236	n/a	trisomic	n/a
GSM2977237	n/a	trisomic	n/a
GSM2977238	n/a	trisomic	n/a
GSM2977239	n/a	trisomic	n/a
GSM2977240	n/a	trisomic	n/a
GSM299862	female	disomic	n/a
GSM299863	male	disomic	n/a
GSM299864	male	disomic	n/a
GSM299865	male	disomic	n/a
GSM299866	male	disomic	n/a
GSM299867	male	disomic	n/a
GSM299868	male	disomic	n/a
GSM299869	male	disomic	n/a
GSM299870	male	disomic	n/a
GSM299871	male	disomic	n/a
GSM299872	female	disomic	n/a
GSM299873	male	disomic	n/a
GSM299874	female	disomic	n/a
GSM299875	male	disomic	n/a
GSM299876	female	disomic	n/a
GSM299877	female	disomic	n/a
GSM299878	female	disomic	n/a
GSM299879	male	disomic	n/a
GSM299880	male	disomic	n/a
GSM299881	female	disomic	n/a
GSM299882	female	disomic	n/a
GSM299883	male	disomic	n/a
GSM299884	male	disomic	n/a
GSM299885	female	disomic	n/a
GSM299886	male	disomic	n/a
GSM299887	male	disomic	n/a
GSM299888	male	disomic	n/a
GSM299889	male	disomic	n/a
GSM299890	male	disomic	n/a
GSM299891	male	disomic	n/a
GSM299892	female	disomic	n/a
GSM299893	male	disomic	n/a
GSM299894	male	disomic	n/a
GSM299895	male	disomic	n/a
GSM299896	male	disomic	n/a
GSM299897	male	disomic	n/a
GSM299898	male	disomic	n/a
GSM299899	female	disomic	n/a
GSM299900	male	disomic	n/a
GSM299901	female	disomic	n/a
GSM299902	male	disomic	n/a
GSM299903	female	disomic	n/a
GSM299904	male	disomic	n/a
GSM299905	female	disomic	n/a
GSM299906	male	disomic	n/a
GSM299907	female	disomic	n/a
GSM299908	male	disomic	n/a
GSM299909	male	disomic	n/a
GSM299910	male	disomic	n/a
GSM299911	male	disomic	n/a
GSM299912	female	disomic	n/a
GSM299913	male	disomic	n/a
GSM299914	male	disomic	n/a
GSM299915	male	disomic	n/a
GSM299916	male	disomic	n/a
GSM299917	male	disomic	n/a
GSM299918	male	disomic	n/a
